player,team,TotMin,TotalGames,AvgMin
Bruno Fernando,HOU,94,10,9.4
Bryn Forbes,DEN,610,35,17.4
Bryn Forbes,SAS,676,40,16.9
Buddy Hield,IND,925,26,35.6
Buddy Hield,SAC,1574,55,28.6
CJ Elleby,POR,1180,58,20.3
CJ McCollum,NOP,960,28,34.3
CJ McCollum,POR,1268,36,35.2
CJ Miles,BOS,2,1,2
Cade Cunningham,DET,2088,64,32.6
Caleb Martin,MIA,1372,60,22.9
Cam Reddish,ATL,797,34,23.4
Cam Reddish,NYK,215,15,14.3
Cam Thomas,BKN,1176,67,17.6
Cameron Johnson,PHX,1730,66,26.2
Cameron McGriff,POR,46,3,15.3
Cameron Oliver,ATL,43,2,21.5
Cameron Payne,PHX,1278,58,22
Caris LeVert,CLE,647,21,30.8
Caris LeVert,IND,1214,39,31.1
Carlik Jones,DAL,19,3,6.3
Carlik Jones,DEN,4,2,2
Carmelo Anthony,LAL,1793,69,26
Carsen Edwards,DET,79,4,19.8
Cassius Stanley,DET,155,9,17.2
Cassius Winston,WAS,39,7,5.6
Cat Barber,ATL,13,3,4.3
Cedi Osman,CLE,1483,67,22.1
Chandler Hutchison,PHX,22,6,3.7
Charles Bassey,PHI,168,23,7.3
Charlie Brown Jr.,DAL,15,3,5
Charlie Brown Jr.,PHI,162,19,8.5
Chaundee Brown Jr.,ATL,83,3,27.7
Chaundee Brown Jr.,LAL,21,2,10.5
Cheick Diallo,DET,31,3,10.3
Chimezie Metu,SAC,1279,60,21.3
Chris Boucher,TOR,1691,80,21.1
Chris Chiozza,GSW,372,34,10.9
Chris Duarte,IND,1541,55,28
Chris Paul,PHX,2139,65,32.9
Chris Silva,MIA,88,9,9.8
Chris Silva,MIN,3,1,3
Christian Wood,HOU,2094,68,30.8
Chuma Okeke,ORL,1749,70,25
Clint Capela,ATL,2085,76,27.4
Coby White,CHI,1675,61,27.5
Cody Martin,CHA,1888,72,26.2
Cody Zeller,POR,355,27,13.1
Cole Anthony,ORL,2059,65,31.7
Collin Sexton,CLE,316,11,28.7
Corey Kispert,WAS,1801,77,23.4
Cory Joseph,DET,1600,65,24.6
Craig Sword,WAS,19,3,6.3
D'Angelo Russell,MIN,2114,66,32
D.J. Augustin,HOU,510,34,15
D.J. Augustin,LAL,373,21,17.8
D.J. Wilson,TOR,54,4,13.5
DaQuan Jeffries,MEM,9,3,3
Daishen Nix,HOU,261,24,10.9
Dakota Mathias,MEM,16,6,2.7
Dalano Banton,TOR,696,64,10.9
Damian Jones,SAC,1017,56,18.2
Damian Lillard,POR,1056,29,36.4
Damion Lee,GSW,1256,63,19.9
Damyean Dotson,NYK,21,2,10.5
Daniel Gafford,WAS,1444,72,20.1
Daniel Oturu,TOR,27,3,9
Daniel Theis,BOS,393,21,18.7
Daniel Theis,HOU,575,26,22.1
Danilo Gallinari,ATL,1743,68,25.6
Danny Green,PHI,1348,62,21.7
Danuel House Jr.,HOU,233,16,14.6
Danuel House Jr.,NYK,3,1,3
Danuel House Jr.,UTA,491,25,19.6
Darius Bazley,OKC,1919,69,27.8
Darius Garland,CLE,2513,70,35.9
Darren Collison,LAL,37,3,12.3
David Duke Jr.,BKN,341,22,15.5
David Johnson,TOR,2,2,1
David Nwaba,HOU,609,46,13.2
Davion Mitchell,SAC,2076,75,27.7
Davis Bertans,DAL,306,22,13.9
Davis Bertans,WAS,501,34,14.7
Davon Reed,DEN,668,48,13.9
Day'Ron Sharpe,BKN,391,32,12.2
De'Aaron Fox,SAC,2084,59,35.3
De'Andre Hunter,ATL,1628,55,29.6
De'Anthony Melton,MEM,1657,73,22.7
DeAndre Jordan,LAL,408,32,12.8
DeAndre Jordan,PHI,214,16,13.4
DeAndre' Bembry,BKN,949,48,19.8
DeAndre' Bembry,MIL,77,8,9.6
DeMar DeRozan,CHI,2743,76,36.1
DeMarcus Cousins,DEN,431,31,13.9
DeMarcus Cousins,MIL,287,17,16.9
Dean Wade,CLE,980,51,19.2
Deandre Ayton,PHX,1713,58,29.5
Deividas Sirvydis,DET,27,3,9
Dejounte Murray,SAS,2400,69,34.8
Delon Wright,ATL,1492,79,18.9
Deni Avdija,WAS,1984,82,24.2
Dennis Schroder,BOS,1433,49,29.2
Dennis Schroder,HOU,404,15,26.9
Dennis Smith Jr.,POR,638,37,17.2
Denzel Valentine,CLE,204,22,9.3
Denzel Valentine,UTA,18,2,9
Derrick Favors,OKC,653,39,16.7
Derrick Jones Jr.,CHI,899,51,17.6
Derrick Rose,NYK,636,26,24.5
Derrick Walton Jr.,DET,108,3,36
Derrick White,BOS,713,26,27.4
Derrick White,SAS,1486,49,30.3
Desmond Bane,MEM,2266,76,29.8
Devin Booker,PHX,2345,68,34.5
Devin Cannady,ORL,145,5,29
Devin Vassell,SAS,1974,72,27.4
Devon Dotson,CHI,85,11,7.7
Devontae Cacok,SAS,121,15,8.1
Devonte' Graham,NOP,2177,78,27.9
Dewayne Dedmon,MIA,1065,67,15.9
Didi Louzada,NOP,7,2,3.5
Didi Louzada,POR,122,7,17.4
Dillon Brooks,MEM,885,32,27.7
Domantas Sabonis,IND,1632,47,34.7
Domantas Sabonis,SAC,504,15,33.6
Donovan Mitchell,UTA,2266,67,33.8
Donte DiVincenzo,MIL,341,17,20.1
Donte DiVincenzo,SAC,665,25,26.6
Dorian Finney-Smith,DAL,2644,80,33
Doug McDermott,SAS,1223,51,24
Draymond Green,GSW,1329,46,28.9
Drew Eubanks,POR,650,22,29.5
Drew Eubanks,SAS,595,49,12.1
Duane Washington Jr.,IND,968,48,20.2
Duncan Robinson,MIA,2043,79,25.9
Dwight Howard,LAL,971,60,16.2
Dwight Powell,DAL,1798,82,21.9
Dylan Windler,CLE,459,50,9.2
Ed Davis,CLE,201,31,6.5
Elfrid Payton,PHX,549,50,11
Elijah Hughes,POR,322,22,14.6
Elijah Hughes,UTA,112,14,8
Emanuel Terry,PHX,18,3,6
Emmanuel Mudiay,SAC,11,2,5.5
Enes Freedom,BOS,289,25,11.6
Enes Kanter,BOS,123,10,12.3
Eric Bledsoe,LAC,1361,54,25.2
Eric Gordon,HOU,1670,57,29.3
Eric Paschall,UTA,737,58,12.7
Eugene Omoruyi,DAL,18,4,4.5
Evan Fournier,NYK,2358,80,29.5
Evan Mobley,CLE,2403,71,33.8
Facundo Campazzo,DEN,1184,65,18.2
Feron Hunt,NYK,8,2,4
Frank Jackson,DET,1164,53,22
Frank Kaminsky,PHX,181,9,20.1
Frank Ntilikina,DAL,685,58,11.8
Franz Wagner,ORL,2429,79,30.7
Fred VanVleet,TOR,2462,65,37.9
Freddie Gillespie,ORL,119,9,13.2
Furkan Korkmaz,PHI,1414,67,21.1
Gabe Vincent,MIA,1589,68,23.4
Gabe York,IND,21,2,10.5
Gabriel Deck,OKC,56,7,8
Gabriel Lundberg,PHX,44,4,11
Garrett Temple,NOP,1098,59,18.6
Garrison Mathews,HOU,1712,65,26.3
Gary Clark,NOP,378,38,9.9
Gary Harris,ORL,1730,61,28.4
Gary Payton II,GSW,1248,71,17.6
Gary Trent Jr.,TOR,2448,70,35
George Hill,MIL,1253,54,23.2
George King,DAL,19,4,4.8
Georges Niang,PHI,1741,76,22.9
Georgios Kalaitzakis,MIL,48,9,5.3
Georgios Kalaitzakis,OKC,166,4,41.5
Giannis Antetokounmpo,MIL,2204,67,32.9
Goga Bitadze,IND,729,50,14.6
Goran Dragic,BKN,418,17,24.6
Goran Dragic,TOR,90,5,18
Gordon Hayward,CHA,1564,49,31.9
Gorgui Dieng,ATL,378,46,8.2
Grant Williams,BOS,1875,77,24.4
Grayson Allen,MIL,1805,66,27.3
Greg Brown III,POR,640,48,13.3
Greg Monroe,MIL,70,5,14
Greg Monroe,MIN,81,4,20.2
Greg Monroe,UTA,26,3,8.7
Greg Monroe,WAS,18,2,9
Hamidou Diallo,DET,1269,58,21.9
Harrison Barnes,SAC,2587,77,33.6
Hassan Whiteside,UTA,1162,65,17.9
Hassani Gravett,ORL,171,8,21.4
Haywood Highsmith,MIA,163,19,8.6
Herbert Jones,NOP,2405,80,30.1
Ignas Brazdeikis,ORL,536,42,12.8
Immanuel Quickley,NYK,1802,78,23.1
Isaac Bonga,TOR,69,15,4.6
Isaac Okoro,CLE,2016,69,29.2
Isaiah Hartenstein,LAC,1228,70,17.5
Isaiah Jackson,IND,541,36,15
Isaiah Joe,PHI,609,55,11.1
Isaiah Livers,DET,383,19,20.2
Isaiah Roby,OKC,948,45,21.1
Isaiah Stewart,DET,1816,71,25.6
Isaiah Thomas,CHA,225,18,12.5
Isaiah Thomas,DAL,13,1,13
Isaiah Thomas,LAL,101,4,25.2
Isaiah Todd,WAS,74,12,6.2
Ish Smith,CHA,511,37,13.8
Ish Smith,WAS,615,28,22
Ish Wainright,PHX,359,45,8
Ivica Zubac,LAC,1897,78,24.3
JT Thor,CHA,262,33,7.9
Ja Morant,MEM,1889,57,33.1
JaMychal Green,DEN,1085,67,16.2
JaQuori McLaughlin,DAL,11,4,2.8
JaVale McGee,PHX,1172,74,15.8
Jabari Parker,BOS,112,12,9.3
Jaden McDaniels,MIN,1825,71,25.7
Jaden Springer,PHI,6,2,3
Jae Crowder,PHX,1886,67,28.1
Jae'Sean Tate,HOU,2056,78,26.4
Jahmi'us Ramsey,SAC,134,19,7.1
Jake Layman,MIN,231,34,6.8
Jakob Poeltl,SAS,2000,69,29
Jalen Brunson,DAL,2524,79,31.9
Jalen Green,HOU,2138,67,31.9
Jalen Johnson,ATL,124,23,5.4
Jalen McDaniels,CHA,921,56,16.4
Jalen Smith,IND,543,22,24.7
Jalen Smith,PHX,382,29,13.2
Jalen Suggs,ORL,1307,48,27.2
James Bouknight,CHA,304,31,9.8
James Ennis III,BKN,14,2,7
James Ennis III,DEN,14,3,4.7
James Ennis III,LAC,28,2,14
James Harden,BKN,1627,44,37
James Harden,PHI,792,21,37.7
James Johnson,BKN,1191,62,19.2
Jamorko Pickett,DET,176,13,13.5
Jared Butler,UTA,360,42,8.6
Jared Harper,NOP,43,5,8.6
Jaren Jackson Jr.,MEM,2126,78,27.3
Jarred Vanderbilt,MIN,1908,75,25.4
Jarrett Allen,CLE,1845,57,32.4
Jarrett Culver,MEM,338,37,9.1
Jarron Cumberland,POR,12,3,4
Javin DeLaurier,MIL,3,1,3
Javonte Green,CHI,1519,65,23.4
Javonte Smart,MIA,40,4,10
Javonte Smart,MIL,160,13,12.3
Jaxson Hayes,NOP,1433,72,19.9
Jay Huff,LAL,20,4,5
Jay Scrubb,LAC,121,18,6.7
Jaylen Brown,BOS,2220,66,33.6
Jaylen Hoard,OKC,240,7,34.3
Jaylen Morris,SAS,16,3,5.3
Jaylen Nowell,MIN,983,63,15.6
Jaysean Paige,DET,7,1,7
Jayson Tatum,BOS,2731,76,35.9
Jeff Dowtin,GSW,28,4,7
Jeff Dowtin,MIL,3,1,3
Jeff Dowtin,ORL,77,4,19.2
Jeff Green,DEN,1849,75,24.7
Jemerrio Jones,LAL,15,2,7.5
Jerami Grant,DET,1500,47,31.9
Jeremiah Robinson-Earl,OKC,1087,49,22.2
Jeremy Lamb,IND,613,39,15.7
Jeremy Lamb,SAC,322,17,18.9
Jericho Sims,NYK,555,41,13.5
Jevon Carter,BKN,552,46,12
Jevon Carter,MIL,353,20,17.6
Jimmy Butler,MIA,1931,57,33.9
Jock Landale,SAS,589,54,10.9
Joe Harris,BKN,423,14,30.2
Joe Ingles,UTA,1122,45,24.9
Joe Johnson,BOS,2,1,2
Joe Wieskamp,SAS,205,29,7.1
Joel Ayayi,WAS,20,7,2.9
Joel Embiid,PHI,2297,68,33.8
John Collins,ATL,1663,54,30.8
John Konchar,MEM,1292,72,17.9
Jon Teske,MEM,8,3,2.7
Jonas Valanciunas,NOP,2302,76,30.3
Jonathan Kuminga,GSW,1185,70,16.9
Jordan Bell,CHI,2,1,2
Jordan Clarkson,UTA,2141,79,27.1
Jordan Goodwin,WAS,6,2,3
Jordan McLaughlin,MIN,902,62,14.5
Jordan Nwora,MIL,1185,62,19.1
Jordan Poole,GSW,2283,76,30
Jordan Schakel,WAS,30,4,7.5
Jose Alvarado,NOP,873,56,15.6
Josh Christopher,HOU,1334,74,18
Josh Giddey,OKC,1700,54,31.5
Josh Green,DAL,1039,67,15.5
Josh Hart,NOP,1374,41,33.5
Josh Hart,POR,417,13,32.1
Josh Jackson,DET,707,39,18.1
Josh Jackson,SAC,123,12,10.2
Josh Okogie,MIN,516,50,10.3
Josh Richardson,BOS,1087,44,24.7
Josh Richardson,SAS,545,22,24.8
Joshua Primo,SAS,975,51,19.1
Jrue Holiday,MIL,2208,67,33
Juan Toscano-Anderson,GSW,994,73,13.6
Juancho Hernangomez,BOS,96,18,5.3
Juancho Hernangomez,SAS,51,5,10.2
Juancho Hernangomez,UTA,298,17,17.5
Julius Randle,NYK,2544,72,35.3
Justin Anderson,CLE,47,3,15.7
Justin Anderson,IND,269,13,20.7
Justin Champagnie,TOR,280,36,7.8
Justin Holiday,IND,1416,49,28.9
Justin Holiday,SAC,641,25,25.6
Justin Jackson,BOS,2,1,2
Justin Jackson,PHX,35,6,5.8
Justin Robinson,DET,91,5,18.2
Justin Robinson,MIL,198,17,11.6
Justin Robinson,SAC,15,3,5
Justise Winslow,LAC,480,37,13
Justise Winslow,POR,295,11,26.8
Jusuf Nurkic,POR,1581,56,28.2
Juwan Morgan,TOR,27,1,27
KZ Okpala,MIA,244,21,11.6
Kai Jones,CHA,63,21,3
Karl-Anthony Towns,MIN,2500,75,33.3
Keifer Sykes,IND,566,32,17.7
Keita Bates-Diop,SAS,962,60,16
Kelan Martin,BOS,6,3,2
Kelan Martin,IND,444,27,16.4
Keldon Johnson,SAS,2431,76,32
Keljin Blevins,POR,349,31,11.3
Kelly Olynyk,DET,764,40,19.1
Kelly Oubre Jr.,CHA,2015,77,26.2
Kemba Walker,NYK,948,37,25.6
Kenrich Williams,OKC,1072,49,21.9
Kent Bazemore,LAL,545,39,14
Kentavious Caldwell-Pope,WAS,2329,77,30.2
Kenyon Martin Jr.,HOU,1658,79,21
Keon Johnson,LAC,135,15,9
Keon Johnson,POR,562,22,25.5
Kessler Edwards,BKN,995,49,20.3
Kevin Durant,BKN,2089,56,37.3
Kevin Huerter,ATL,2249,76,29.6
Kevin Knox II,ATL,113,18,6.3
Kevin Knox II,NYK,111,13,8.5
Kevin Love,CLE,1705,76,22.4
Kevin Pangos,CLE,166,24,6.9
Kevin Porter Jr.,HOU,1907,61,31.3
Kevon Looney,GSW,1732,82,21.1
Khem Birch,TOR,991,55,18
Khris Middleton,MIL,2141,66,32.4
Killian Hayes,DET,1647,66,25
Killian Tillie,MEM,461,36,12.8
Kira Lewis Jr.,NOP,341,24,14.2
Klay Thompson,GSW,941,32,29.4
Kris Dunn,POR,336,14,24
Kristaps Porzingis,DAL,1002,34,29.5
Kristaps Porzingis,WAS,479,17,28.2
Kyle Anderson,MEM,1484,69,21.5
Kyle Guy,MIA,186,19,9.8
Kyle Kuzma,WAS,2204,66,33.4
Kyle Lowry,MIA,2133,63,33.9
Kyrie Irving,BKN,1133,30,37.8
LaMarcus Aldridge,BKN,1050,47,22.3
LaMelo Ball,CHA,2460,76,32.4
Lamar Stevens,CLE,1021,64,16
Lance Stephenson,ATL,70,6,11.7
Lance Stephenson,IND,744,40,18.6
Landry Shamet,PHX,1437,69,20.8
Langston Galloway,BKN,58,4,14.5
Langston Galloway,MIL,48,3,16
Larry Nance Jr.,NOP,220,11,20
Larry Nance Jr.,POR,858,37,23.2
Lauri Markkanen,CLE,1943,63,30.8
LeBron James,LAL,2084,56,37.2
Leandro Bolmaro,MIN,241,35,6.9
Lindell Wigginton,MIL,199,19,10.5
Lindy Waters III,OKC,465,25,18.6
Lonnie Walker IV,SAS,1629,71,22.9
Lonzo Ball,CHI,1212,35,34.6
Lou Williams,ATL,799,56,14.3
Louis King,SAC,104,10,10.4
Luguentz Dort,OKC,1665,51,32.6
Luka Doncic,DAL,2301,65,35.4
Luka Garza,DET,389,32,12.2
Luke Kennard,LAC,1919,70,27.4
Luke Kornet,BOS,85,12,7.1
Luke Kornet,CLE,15,2,7.5
Luke Kornet,MIL,3,1,3
MJ Walker,PHX,8,2,4
Mac McClung,CHI,3,1,3
Mac McClung,LAL,22,1,22
Malachi Flynn,TOR,537,44,12.2
Malcolm Brogdon,IND,1206,36,33.5
Malcolm Hill,ATL,46,3,15.3
Malcolm Hill,CHI,166,16,10.4
Malik Beasley,MIN,2005,80,25.1
Malik Fitts,BOS,28,8,3.5
Malik Fitts,UTA,35,7,5
Malik Monk,LAL,2139,76,28.1
Malik Newman,CLE,8,1,8
Mamadi Diakite,OKC,188,13,14.5
Marcus Garrett,MIA,128,12,10.7
Marcus Morris Sr.,LAC,1638,56,29.2
Marcus Smart,BOS,2296,71,32.3
Markelle Fultz,ORL,360,18,20
Markieff Morris,MIA,298,17,17.5
Marko Simonovic,CHI,35,9,3.9
Markus Howard,DEN,176,31,5.7
Marquese Chriss,DAL,346,34,10.2
Marvin Bagley III,DET,490,18,27.2
Marvin Bagley III,SAC,656,30,21.9
Mason Jones,LAL,51,4,12.8
Mason Plumlee,CHA,1804,74,24.4
Matisse Thybulle,PHI,1685,66,25.5
Matt Mooney,NYK,2,1,2
Matt Ryan,BOS,5,1,5
Matt Thomas,CHI,459,40,11.5
Maurice Harkless,SAC,863,47,18.4
Max Strus,MIA,1587,68,23.3
Maxi Kleber,DAL,1450,59,24.6
McKinley Wright IV,MIN,19,5,3.8
Melvin Frazier Jr.,OKC,120,3,40
Micah Potter,DET,31,3,10.3
Michael Porter Jr.,DEN,265,9,29.4
Mikal Bridges,PHX,2854,82,34.8
Mike Conley,UTA,2058,72,28.6
Mike Muscala,OKC,592,43,13.8
Miles Bridges,CHA,2867,81,35.4
Miles McBride,NYK,372,40,9.3
Mitchell Robinson,NYK,1848,72,25.7
Miye Oni,UTA,44,16,2.8
Mo Bamba,ORL,1824,71,25.7
Monte Morris,DEN,2239,75,29.9
Montrezl Harrell,CHA,540,26,20.8
Montrezl Harrell,WAS,1117,46,24.3
Moritz Wagner,ORL,960,63,15.2
Moses Brown,CLE,176,14,12.6
Moses Brown,DAL,169,26,6.5
Moses Moody,GSW,607,52,11.7
Moses Wright,DAL,13,3,4.3
Mychal Mulder,MIA,44,2,22
Mychal Mulder,ORL,195,15,13
Myles Powell,PHI,52,11,4.7
Myles Turner,IND,1235,42,29.4
Naji Marshall,NOP,757,57,13.3
Nassir Little,POR,1093,42,26
Nate Hinton,IND,2,2,1
Nathan Knight,MIN,267,37,7.2
Naz Reid,MIN,1237,78,15.9
Neemias Queta,SAC,120,14,8.6
Nemanja Bjelica,GSW,1143,71,16.1
Nerlens Noel,NYK,562,25,22.5
Nic Claxton,BKN,1003,48,20.9
Nick Richards,CHA,367,50,7.3
Nickeil Alexander-Walker,NOP,1317,50,26.3
Nickeil Alexander-Walker,UTA,149,15,9.9
Nicolas Batum,LAC,1524,61,25
Nik Stauskas,BOS,15,6,2.5
Nik Stauskas,MIA,24,2,12
Nikola Jokic,DEN,2476,74,33.5
Nikola Vucevic,CHI,2418,73,33.1
Norman Powell,LAC,176,7,25.1
Norman Powell,POR,1333,40,33.3
Norvel Pelle,UTA,19,3,6.3
OG Anunoby,TOR,1728,48,36
Obi Toppin,NYK,1230,72,17.1
Olivier Sarr,OKC,421,22,19.1
Omer Yurtseven,MIA,706,56,12.6
Onyeka Okongwu,ATL,1033,50,20.7
Oshae Brissett,IND,1564,67,23.3
Otto Porter Jr.,GSW,1396,63,22.2
P.J. Dozier,DEN,340,18,18.9
P.J. Tucker,MIA,1981,71,27.9
P.J. Washington,CHA,1806,66,27.4
Paris Bass,PHX,7,2,3.5
Pascal Siakam,TOR,2578,68,37.9
Pat Connaughton,MIL,1691,65,26
Patrick Beverley,MIN,1509,59,25.6
Patrick Williams,CHI,422,17,24.8
Patty Mills,BKN,2364,82,28.8
Paul George,LAC,1119,32,35
Paul Millsap,BKN,270,24,11.2
Paul Millsap,PHI,106,9,11.8
Paul Reed,PHI,302,38,7.9
Paul Watson,OKC,156,9,17.3
Payton Pritchard,BOS,1001,71,14.1
Petr Cornelie,DEN,38,13,2.9
Precious Achiuwa,TOR,1725,73,23.6
Quentin Grimes,NYK,786,46,17.1
Quinndary Weatherspoon,GSW,73,11,6.6
R.J. Hampton,ORL,1402,64,21.9
RJ Barrett,NYK,2417,70,34.5
RJ Nembhard Jr.,CLE,63,14,4.5
Rajon Rondo,CLE,450,23,19.6
Rajon Rondo,LAL,289,18,16.1
Raul Neto,WAS,1372,70,19.6
Rayjon Tucker,DEN,29,3,9.7
Rayjon Tucker,MIL,42,2,21
Reggie Bullock,DAL,1902,68,28
Reggie Jackson,LAC,2424,77,31.5
Reggie Perry,IND,10,1,10
Reggie Perry,POR,177,9,19.7
Richaun Holmes,SAC,1074,45,23.9
Ricky Rubio,CLE,970,34,28.5
Rob Edwards,OKC,11,2,5.5
Robert Covington,LAC,562,25,22.5
Robert Covington,POR,1419,48,29.6
Robert Williams III,BOS,1804,61,29.6
Robert Woodard II,SAC,42,12,3.5
Robin Lopez,ORL,612,36,17
Rodney Hood,LAC,128,13,9.8
Rodney Hood,MIL,581,39,14.9
Rodney McGruder,DET,754,51,14.8
Romeo Langford,BOS,728,44,16.5
Romeo Langford,SAS,43,4,10.8
Royce O'Neale,UTA,2406,77,31.2
Rudy Gay,UTA,1038,55,18.9
Rudy Gobert,UTA,2120,66,32.1
Rui Hachimura,WAS,943,42,22.5
Russell Westbrook,LAL,2678,78,34.3
Ryan Arcidiacono,NYK,76,10,7.6
Saben Lee,DET,604,37,16.3
Saddiq Bey,DET,2704,82,33
Sam Hauser,BOS,158,26,6.1
Sam Merrill,MEM,58,6,9.7
Sandro Mamukelashvili,MIL,407,41,9.9
Santi Aldama,MEM,360,32,11.2
Scottie Barnes,TOR,2617,74,35.4
Scottie Lewis,CHA,7,2,3.5
Scotty Hopson,OKC,18,1,18
Sekou Doumbouya,LAL,16,2,8
Semi Ojeleye,LAC,98,10,9.8
Semi Ojeleye,MIL,308,20,15.4
Serge Ibaka,LAC,538,35,15.4
Serge Ibaka,MIL,339,19,17.8
Seth Curry,BKN,602,20,30.1
Seth Curry,PHI,1566,45,34.8
Shai Gilgeous-Alexander,OKC,1942,56,34.7
Shake Milton,PHI,1179,55,21.4
Shaq Buchanan,MEM,10,2,5
Shaquille Harrison,BKN,23,2,11.5
Sharife Cooper,ATL,39,13,3
Skylar Mays,ATL,223,29,7.7
Solomon Hill,ATL,139,13,10.7
Spencer Dinwiddie,DAL,650,23,28.3
Spencer Dinwiddie,WAS,1330,44,30.2
Stanley Johnson,LAL,1094,48,22.8
Stephen Curry,GSW,2211,64,34.5
Sterling Brown,DAL,628,49,12.8
Steven Adams,MEM,1999,76,26.3
Svi Mykhailiuk,TOR,716,56,12.8
T.J. McConnell,IND,652,27,24.1
Tacko Fall,CLE,59,11,5.4
Taj Gibson,NYK,946,52,18.2
Talen Horton-Tucker,LAL,1511,60,25.2
Taurean Prince,MIN,1177,69,17.1
Terance Mann,LAC,2369,83,28.5
Terence Davis,SAC,536,30,17.9
Terrence Ross,ORL,1448,63,23
Terry Rozier,CHA,2494,74,33.7
Terry Taylor,IND,714,33,21.6
Thaddeus Young,SAS,371,26,14.3
Thaddeus Young,TOR,475,26,18.3
Thanasis Antetokounmpo,MIL,473,48,9.9
Theo Maledon,OKC,908,51,17.8
Theo Pinson,DAL,148,19,7.8
Thomas Bryant,WAS,439,27,16.3
Tim Frazier,CLE,8,2,4
Tim Frazier,ORL,200,10,20
Tim Hardaway Jr.,DAL,1245,42,29.6
Timothe Luwawu-Cabarrot,ATL,705,54,13.1
Tobias Harris,PHI,2543,73,34.8
Tomas Satoransky,NOP,481,32,15
Tomas Satoransky,SAS,9,1,9
Tomas Satoransky,WAS,416,22,18.9
Tony Bradley,CHI,549,55,10
Tony Snell,NOP,275,16,17.2
Tony Snell,POR,546,38,14.4
Torrey Craig,IND,1034,51,20.3
Torrey Craig,PHX,562,27,20.8
Trae Young,ATL,2726,78,34.9
Trayvon Palmer,DET,17,1,17
Tre Jones,SAS,1165,70,16.6
Tre Mann,OKC,1367,60,22.8
Tremont Waters,TOR,42,2,21
Tremont Waters,WAS,8,1,8
Trendon Watford,POR,869,48,18.1
Trent Forrest,UTA,765,60,12.8
Trevelin Queen,HOU,74,10,7.4
Trevon Scott,CLE,11,2,5.5
Trevor Ariza,LAL,462,24,19.2
Trey Burke,DAL,441,42,10.5
Trey Lyles,DET,990,51,19.4
Trey Lyles,SAC,547,24,22.8
Trey Murphy III,NOP,910,64,14.2
Tristan Thompson,CHI,376,23,16.3
Tristan Thompson,IND,66,4,16.5
Tristan Thompson,SAC,455,30,15.2
Troy Brown Jr.,CHI,1055,66,16
Ty Jerome,OKC,806,48,16.8
Tyler Cook,CHI,200,20,10
Tyler Herro,MIA,2151,66,32.6
Tyler Johnson,PHI,38,3,12.7
Tyler Johnson,SAS,53,3,17.7
Tyrell Terry,MEM,3,2,1.5
Tyrese Haliburton,IND,938,26,36.1
Tyrese Haliburton,SAC,1757,51,34.5
