player,Position,Experience,Birth,Age,Salary
Doug McDermott,PF,6,1/3/1992,28,7333333
Robin Lopez,C,12,4/1/1988,32,7300000
Jaren Jackson Jr.,C,2,9/15/1999,21,7257360
JaMychal Green,PF,6,6/21/1990,30,7199760
Nemanja Bjelica,PF,5,5/9/1988,32,7150000
Patrick Williams,PF,0,8/26/2001,19,7068360
Aron Baynes,C,8,12/9/1986,34,7000000
Darius Miller,SF,5,3/21/1990,30,7000000
Ivica Zubac,C,4,3/18/1997,23,7000000
Jabari Parker,PF,6,3/15/1995,25,6930729
Lauri Markkanen,PF,3,5/22/1997,23,6731508
Darius Garland,PG,1,1/26/2000,20,6720720
D.J. Augustin,PG,12,11/10/1987,33,6666667
Trae Young,PG,2,9/19/1998,22,6571800
Chris Boucher,C,3,1/11/1993,27,6500000
Juancho Hernangomez,PF,4,9/28/1995,25,6493000
Isaac Okoro,SG,0,1/26/2001,19,6400920
Frank Ntilikina,PG,3,7/28/1998,22,6176578
Jarrett Culver,SG,1,2/20/1999,21,6104280
Alec Burks,SG,9,7/20/1991,29,6000000
Ish Smith,PG,10,7/5/1988,32,6000000
Mo Bamba,C,2,5/12/1998,22,5969040
Onyeka Okongwu,C,0,12/11/2000,20,5813640
Justin Holiday,SG,7,4/5/1989,31,5720400
Dennis Smith Jr.,PG,3,11/25/1997,23,5686677
Avery Bradley,SG,10,11/26/1990,30,5635000
Coby White,PG,1,2/16/2000,20,5572680
Trey Lyles,PF,5,11/5/1995,25,5500000
Wendell Carter Jr.,C,2,4/16/1999,21,5448840
Malik Monk,SG,3,2/4/1998,22,5345687
Killian Hayes,PG,0,7/27/2001,19,5307120
Luke Kennard,SG,3,6/24/1996,24,5273826
Donovan Mitchell,PG,3,9/7/1996,24,5195501
Rodney McGruder,SG,4,7/29/1991,29,5192307
Bam Adebayo,C,3,7/18/1997,23,5115492
Justin Jackson,SF,3,3/28/1995,25,5109637
Jaxson Hayes,C,1,5/23/2000,20,5105160
Ed Davis,C,10,6/5/1989,31,5005350
Enes Kanter,C,10,5/20/1992,28,5005350
Mike Scott,PF,8,7/16/1988,32,5005350
Richaun Holmes,C,5,10/15/1993,27,5005350
Daniel Theis,C,3,4/4/1992,28,5000000
Nerlens Noel,C,6,4/10/1994,26,5000000
Collin Sexton,SG,2,1/4/1999,21,4991880
Pat Connaughton,SG,5,1/6/1993,27,4938273
Obi Toppin,PF,0,3/4/1998,22,4862040
Kevon Looney,C,5,2/6/1996,24,4821429
Elfrid Payton,PG,6,2/22/1994,26,4767000
Garrett Temple,SG,10,5/8/1986,34,4767000
Josh Jackson,SG,3,2/10/1997,23,4767000
Kris Dunn,PG,4,3/18/1994,26,4767000
Rui Hachimura,PF,1,2/8/1998,22,4692840
Denzel Valentine,SG,3,11/16/1993,27,4642800
Kevin Knox II,SF,2,8/11/1999,21,4588680
D.J. Wilson,PF,3,2/19/1996,24,4548280
Deni Avdija,SF,0,1/3/2001,19,4469160
Cam Reddish,SF,1,9/1/1999,21,4458000
T.J. Leaf,PF,3,4/30/1997,23,4431423
Mikal Bridges,SF,2,8/30/1996,24,4359000
Jalen Smith,PF,0,3/16/2000,20,4245720
Cameron Johnson,PF,1,3/3/1996,24,4235160
JaVale McGee,C,12,1/19/1988,32,4200000
Reggie Bullock,SF,7,3/16/1991,29,4200000
Shai Gilgeous-Alexander,SG,2,7/12/1998,22,4141320
John Collins,PF,3,9/23/1997,23,4137302
Willie Cauley-Stein,C,5,8/18/1993,27,4100000
Devin Vassell,SF,0,8/23/2000,20,4033440
P.J. Washington,PF,1,8/23/1998,22,4023600
Dorian Finney-Smith,PF,4,5/4/1993,27,4000000
Patrick McCaw,SF,4,10/25/1995,25,4000000
Alex Len,C,7,6/16/1993,27,3970648
Terrance Ferguson,SG,3,5/17/1998,22,3944013
Miles Bridges,PF,2,8/30/1996,24,3934320
Austin Rivers,SG,8,8/1/1992,28,3929049
Jevon Carter,PG,2,9/14/1995,25,3925000
Jarrett Allen,C,3,4/21/1998,22,3909902
Nicolo Melli,PF,1,1/26/1991,29,3897436
OG Anunoby,SF,3,7/17/1997,23,3872215
Gabriel Deck,PF,0,2/8/1995,25,3870370
Tyrese Haliburton,PG,0,2/29/2000,20,3831840
Tyler Herro,SG,1,1/20/2000,20,3822240
Patrick Patterson,PF,10,3/14/1989,31,3814771
Stanley Johnson,PF,5,5/29/1996,24,3804150
Jake Layman,SF,4,3/7/1994,26,3761085
Jerome Robinson,SG,2,2/22/1997,23,3737520
Danuel House Jr.,SF,4,6/7/1993,27,3717000
Kira Lewis Jr.,PG,0,4/6/2001,19,3640200
Romeo Langford,SG,1,10/25/1999,21,3631200
Bobby Portis,C,5,2/10/1995,25,3623000
Maurice Harkless,PF-SF,8,5/11/1993,27,3623000
Wesley Matthews,SG,11,10/14/1986,34,3623000
Wayne Ellington,SG,11,11/29/1987,33,3564753
Kyle Kuzma,SF,3,7/24/1995,25,3562178
Michael Porter Jr.,SF,1,6/29/1998,22,3550800
Tony Bradley,C,3,1/8/1998,22,3542060
Derrick White,SG,3,7/2/1994,26,3516284
Bismack Biyombo,C,9,8/28/1992,28,3500000
Boban Marjanovic,C,5,8/15/1988,32,3500000
T.J. McConnell,PG,5,3/25/1992,28,3500000
Josh Hart,SF,3,3/6/1995,25,3491159
Aaron Nesmith,SF,0,10/16/1999,21,3458400
Sekou Doumbouya,PF,1,12/23/2000,19,3449400
Dewayne Dedmon,C,7,8/12/1989,31,3447478
Troy Brown Jr.,SF,2,7/28/1999,21,3372840
Jeff Teague,PG,11,6/10/1988,32,3372826
James Ennis III,SF,6,7/1/1990,30,3300000
Michael Carter-Williams,SG,7,10/10/1991,29,3300000
Cole Anthony,PG,0,5/15/2000,20,3285120
Taj Gibson,C,11,6/24/1985,35,3283684
Facundo Campazzo,PG,0,3/23/1991,29,3200000
Chuma Okeke,PF,0,8/18/1998,22,3121080
Isaiah Stewart,C,0,5/22/2001,19,3121080
Nickeil Alexander-Walker,SG,1,9/2/1998,22,3113160
DeMarcus Cousins,C,9,8/13/1990,30,3051832
Donte DiVincenzo,SG,2,1/31/1997,23,3044160
Khem Birch,C,3,9/28/1992,28,3011499
Ryan Arcidiacono,PG,3,3/26/1994,26,3000000
Trey Burke,PG,7,11/12/1992,28,3000000
Aleksej Pokusevski,PF,0,12/26/2001,18,2964840
Goga Bitadze,C,1,7/20/1999,21,2957520
Lonnie Walker IV,SG,2,12/14/1998,22,2895720
Ben McLemore,SG,7,2/11/1993,27,2893630
Luka Samanic,PF,1,1/9/2000,20,2824320
Josh Green,SG,0,11/16/2000,20,2816760
Kevin Huerter,SG,2,8/27/1998,22,2761920
Alex Caruso,PG,3,2/28/1994,26,2750000
Matisse Thybulle,SG,1,3/4/1997,23,2711280
Saddiq Bey,SF,0,4/9/1999,21,2689920
Josh Okogie,SG,2,9/1/1998,22,2651040
Vincent Poirier,C,1,10/17/1993,27,2619207
Brandon Clarke,PF,1,9/19/1996,24,2602920
Precious Achiuwa,PF,0,9/19/1999,21,2582160
Carmelo Anthony,PF,17,5/29/1984,36,2564753
Dwight Howard,C,16,12/8/1985,35,2564753
Jared Dudley,PF,13,7/10/1985,35,2564753
Jeff Green,PF,12,8/28/1986,34,2564753
Marc Gasol,C,12,1/29/1985,35,2564753
Udonis Haslem,C,17,6/9/1980,40,2564753
Grayson Allen,SG,2,10/8/1995,25,2545320
Grant Williams,PF,1,11/30/1998,22,2498760
Tyrese Maxey,SG,0,11/4/2000,20,2478840
Chandler Hutchison,SF,2,4/26/1996,24,2443440
Mfiondu Kabengele,PF,1,8/14/1997,23,2432353
Darius Bazley,PF,1,6/12/2000,20,2399160
Moritz Wagner,C,2,4/26/1997,23,2383915
Zeke Nnaji,PF,0,1/9/2001,19,2379840
Aaron Holiday,PG,2,9/30/1996,24,2345640
Bryn Forbes,SG,4,7/23/1993,27,2337145
E'Twaun Moore,SG,9,2/25/1989,31,2331593
Markieff Morris,PF,9,9/2/1989,31,2331593
Reggie Jackson,SG,9,4/16/1990,30,2331593
Hassan Whiteside,C,8,6/13/1989,31,2320044
Kent Bazemore,SF,8,7/1/1989,31,2320044
Ty Jerome,SG,1,7/8/1997,23,2303040
Mike Muscala,C,7,7/1/1991,29,2283034
Anfernee Simons,SG,2,6/8/1999,21,2252040
