player,team,TotMin,TotalGames,AvgMin
Precious Achiuwa,MIA,317,20,15.8
Quinn Cook,LAL,42,12,3.5
Quinndary Weatherspoon,SAS,4,2,2
R.J. Hampton,DEN,43,13,3.3
RJ Barrett,NYK,792,22,36
Rajon Rondo,ATL,163,11,14.8
Raul Neto,WAS,249,14,17.8
Reggie Bullock,NYK,462,17,27.2
Reggie Jackson,LAC,315,18,17.5
Reggie Perry,BKN,147,14,10.5
Richaun Holmes,SAC,580,19,30.5
Ricky Rubio,MIN,417,18,23.2
Robert Covington,POR,512,17,30.1
Robert Williams III,BOS,202,13,15.5
Robert Woodard II,SAC,17,6,2.8
Robin Lopez,WAS,293,16,18.3
Rodions Kurucs,BKN,16,5,3.2
Rodions Kurucs,HOU,32,3,10.7
Rodney Hood,POR,260,16,16.2
Rodney McGruder,DET,20,4,5
Royce O'Neale,UTA,641,20,32
Rudy Gay,SAS,440,20,22
Rudy Gobert,UTA,599,20,30
Rui Hachimura,WAS,246,9,27.3
Russell Westbrook,WAS,375,11,34.1
Ryan Arcidiacono,CHI,65,5,13
Saben Lee,DET,50,5,10
Saddiq Bey,DET,331,18,18.4
Sam Merrill,MIL,55,9,6.1
Sean McDermott,MEM,41,3,13.7
Sekou Doumbouya,DET,238,19,12.5
Semi Ojeleye,BOS,305,17,17.9
Serge Ibaka,LAC,501,20,25
Seth Curry,PHI,398,14,28.4
Shai Gilgeous-Alexander,OKC,604,18,33.6
Shake Milton,PHI,445,18,24.7
Shaquille Harrison,UTA,48,13,3.7
Sindarius Thornwell,NOP,41,6,6.8
Skylar Mays,ATL,11,4,2.8
Solomon Hill,ATL,394,20,19.7
Spencer Dinwiddie,BKN,64,3,21.3
Stanley Johnson,TOR,290,18,16.1
Stephen Curry,GSW,671,20,33.5
Sterling Brown,HOU,324,16,20.2
Steven Adams,NOP,546,18,30.3
Svi Mykhailiuk,DET,283,20,14.2
T.J. McConnell,IND,357,17,21
T.J. Warren,IND,117,4,29.2
Tacko Fall,BOS,42,4,10.5
