player,team,TotalGames
Pat Connaughton,MIL,17
Patrick Beverley,LAC,16
Patrick Patterson,LAC,8
Patrick Williams,CHI,18
Patty Mills,SAS,20
Paul George,LAC,18
Paul Millsap,DEN,20
Paul Reed,PHI,5
Paul Watson,TOR,8
Payton Pritchard,BOS,14
Precious Achiuwa,MIA,20
Quinn Cook,LAL,10
Quinndary Weatherspoon,SAS,2
R.J. Hampton,DEN,12
RJ Barrett,NYK,22
Rajon Rondo,ATL,11
Raul Neto,WAS,14
Reggie Bullock,NYK,17
Reggie Jackson,LAC,18
Reggie Perry,BKN,13
Richaun Holmes,SAC,19
Ricky Rubio,MIN,18
Robert Covington,POR,17
Robert Williams III,BOS,13
Robert Woodard II,SAC,5
Robin Lopez,WAS,16
Rodions Kurucs,BKN,3
Rodions Kurucs,HOU,3
Rodney Hood,POR,16
Rodney McGruder,DET,4
Royce O'Neale,UTA,20
Rudy Gay,SAS,20
Rudy Gobert,UTA,20
Rui Hachimura,WAS,9
Russell Westbrook,WAS,11
Ryan Arcidiacono,CHI,5
Saben Lee,DET,4
Saddiq Bey,DET,18
Sam Merrill,MIL,7
Sean McDermott,MEM,2
Sekou Doumbouya,DET,19
Semi Ojeleye,BOS,17
Serge Ibaka,LAC,20
Seth Curry,PHI,14
Shai Gilgeous-Alexander,OKC,18
Shake Milton,PHI,18
Shaquille Harrison,UTA,11
Sindarius Thornwell,NOP,6
Skylar Mays,ATL,3
Solomon Hill,ATL,20
Spencer Dinwiddie,BKN,3
Stanley Johnson,TOR,17
Stephen Curry,GSW,20
Sterling Brown,HOU,16
Steven Adams,NOP,18
Svi Mykhailiuk,DET,19
T.J. McConnell,IND,17
T.J. Warren,IND,4
Tacko Fall,BOS,4
Taj Gibson,NYK,1
Talen Horton-Tucker,LAL,18
Taurean Prince,BKN,12
Taurean Prince,CLE,8
Terance Mann,LAC,18
Terence Davis,TOR,15
Terrance Ferguson,PHI,4
Terrence Ross,ORL,20
Terry Rozier,CHA,20
Thaddeus Young,CHI,15
Thanasis Antetokounmpo,MIL,13
Theo Maledon,OKC,18
Theo Pinson,NYK,5
Thomas Bryant,WAS,10
Thon Maker,CLE,8
Tim Frazier,MEM,3
Tim Hardaway Jr.,DAL,19
Timothe Luwawu-Cabarrot,BKN,22
Tobias Harris,PHI,18
Tomas Satoransky,CHI,8
Tony Bradley,PHI,7
Tony Snell,ATL,8
Torrey Craig,MIL,7
Trae Young,ATL,19
Tre Jones,SAS,6
Tremont Waters,BOS,6
Trent Forrest,UTA,2
Trey Burke,DAL,19
Trey Lyles,SAS,8
Tristan Thompson,BOS,16
Troy Brown Jr.,WAS,7
Ty-Shon Alexander,PHX,2
Tyler Bey,DAL,3
Tyler Herro,MIA,13
Tyler Johnson,BKN,5
Tyrell Terry,DAL,11
Tyrese Haliburton,SAC,18
Tyrese Maxey,PHI,21
Tyus Jones,MEM,14
Udoka Azubuike,UTA,9
Vernon Carey Jr.,CHA,2
Victor Oladipo,HOU,6
Victor Oladipo,IND,9
