player,Position,Experience,Birth,Age,Salary
Precious Achiuwa,C,1,9/19/1999,22,2711280
Rayjon Tucker,SG,2,9/24/1997,24,220639
Reggie Bullock,SF,8,3/16/1991,30,9536000
Robert Williams III,C,3,10/17/1997,24,3661976
Royce O'Neale,SF,4,6/5/1993,28,8800000
Rudy Gobert,C,8,6/26/1992,29,35344828
Sam Hauser,SF,0,12/8/1997,23,619498
Scottie Barnes,PF,0,8/1/2001,20,7280400
Serge Ibaka,C,12,9/18/1989,32,9720900
Seth Curry,SG,7,8/23/1990,31,8207518
Shake Milton,SG,3,9/26/1996,25,1846738
Skylar Mays,SG,1,9/5/1997,24,510907
Spencer Dinwiddie,PG-SG,7,4/6/1993,28,19314284
Stephen Curry,PG,12,3/14/1988,33,45780966
Sterling Brown,SG,4,2/10/1995,26,3000000
Steven Adams,C,8,7/20/1993,28,17073171
Svi Mykhailiuk,SF,3,6/10/1997,24,1729217
Taurean Prince,PF,5,3/22/1994,27,13334375
Thaddeus Young,PF,14,6/21/1988,33,14190000
Thanasis Antetokounmpo,SF,3,7/18/1992,29,1729217
Timothe Luwawu-Cabarrot,SF,5,5/9/1995,26,1939350
Tobias Harris,PF,10,7/15/1992,29,35995950
Tony Bradley,C,4,1/8/1998,23,1789256
Torrey Craig,SF,4,12/19/1990,30,4878049
Trae Young,PG,3,9/19/1998,23,8326471
Trey Burke,PG,8,11/12/1992,28,3150000
Trey Murphy III,SF,0,6/18/2000,21,3053760
Tristan Thompson,PF,10,3/13/1991,30,9946611
Troy Brown Jr.,SF,3,7/28/1999,22,5170564
Tyler Herro,SG,2,1/20/2000,21,4004280
Tyrese Maxey,PG,1,11/4/2000,20,2602920
Tyus Jones,PG,6,5/10/1996,25,8376286
Victor Oladipo,SG,8,5/4/1992,29,2389641
Vlatko Cancar,PF,2,4/10/1997,24,1782621
Wesley Matthews,SG,12,10/14/1986,35,1958495
Will Barton,SG,9,1/6/1991,30,15625000
Willy Hernangomez,C,5,5/27/1994,27,2327220
Xavier Tillman,PF,1,1/12/1999,22,1517981
Yuta Watanabe,SF,3,10/13/1994,27,1762796
Zach LaVine,SG,7,3/10/1995,26,19500000
Zeke Nnaji,PF,1,1/9/2001,20,2498760
Ziaire Williams,SF,0,9/12/2001,20,4373040
