player,team,TotalGames
Sterling Brown,DAL,7
Steven Adams,MEM,7
Svi Mykhailiuk,TOR,3
Taurean Prince,MIN,5
Thaddeus Young,TOR,6
Thanasis Antetokounmpo,MIL,6
Timothe Luwawu-Cabarrot,ATL,2
Tobias Harris,PHI,12
Tony Bradley,CHI,2
Torrey Craig,PHX,9
Trae Young,ATL,5
Trey Burke,DAL,8
Trey Murphy III,NOP,6
Tristan Thompson,CHI,5
Troy Brown Jr.,CHI,3
Tyler Herro,MIA,15
Tyrese Maxey,PHI,12
Tyus Jones,MEM,12
Victor Oladipo,MIA,15
Vlatko Cancar,DEN,2
Wesley Matthews,MIL,12
Will Barton,DEN,5
Willy Hernangomez,NOP,1
Xavier Tillman,MEM,9
Yuta Watanabe,TOR,4
Zach LaVine,CHI,4
Zeke Nnaji,DEN,2
Ziaire Williams,MEM,10
