player,team,TotMin,TotalGames,AvgMin
Chris Boucher,TOR,1102,53,20.8
Chris Duarte,IND,694,36,19.3
Chris Paul,PHX,1213,38,31.9
Chris Silva,DAL,3,1,3
Christian Braun,DEN,834,54,15.4
Christian Koloko,TOR,658,45,14.6
Christian Wood,DAL,1329,48,27.7
Chuma Okeke,ORL,404,19,21.3
Clint Capela,ATL,1156,43,26.9
Coby White,CHI,1098,50,22
Cody Martin,CHA,134,7,19.1
Cole Anthony,ORL,977,39,25.1
Cole Swider,LAL,40,6,6.7
Collin Sexton,UTA,1129,47,24
Corey Kispert,WAS,1328,49,27.1
Cory Joseph,DET,633,40,15.8
D'Angelo Russell,LAL,91,3,30.3
D'Angelo Russell,MIN,1778,54,32.9
Daishen Nix,HOU,636,41,15.5
Dalano Banton,TOR,246,26,9.5
Dalen Terry,CHI,87,22,4
Damian Jones,LAL,176,22,8
Damian Jones,UTA,8,1,8
Damian Lillard,POR,1665,46,36.2
Damion Lee,PHX,1317,59,22.3
Daniel Gafford,WAS,1030,55,18.7
Daniel Theis,IND,93,6,15.5
Danny Green,CLE,12,1,12
Danny Green,MEM,44,3,14.7
Danuel House Jr.,PHI,546,37,14.8
Dario Saric,OKC,14,1,14
Dario Saric,PHX,533,37,14.4
Darius Bazley,OKC,555,36,15.4
Darius Days,HOU,23,3,7.7
Darius Garland,CLE,1794,51,35.2
David Duke Jr.,BKN,141,16,8.8
David Roddy,MEM,817,46,17.8
Davion Mitchell,SAC,999,56,17.8
Davis Bertans,DAL,360,34,10.6
Davon Reed,DEN,315,35,9
Davon Reed,LAL,10,2,5
Day'Ron Sharpe,BKN,327,32,10.2
De'Aaron Fox,SAC,1770,52,34
De'Andre Hunter,ATL,1567,49,32
De'Anthony Melton,PHI,1537,54,28.5
DeAndre Jordan,DEN,498,34,14.6
DeMar DeRozan,CHI,1925,53,36.3
Dean Wade,CLE,671,31,21.6
Deandre Ayton,PHX,1508,50,30.2
Dejounte Murray,ATL,1972,54,36.5
Delon Wright,WAS,624,28,22.3
Deni Avdija,WAS,1448,55,26.3
Dennis Schroder,LAL,1381,45,30.7
Dennis Smith Jr.,CHA,951,38,25
Deonte Burton,SAC,6,2,3
Dereon Seabron,NOP,12,5,2.4
Derrick Jones Jr.,CHI,698,46,15.2
Derrick Rose,NYK,336,26,12.9
Derrick White,BOS,1636,59,27.7
Desmond Bane,MEM,1093,35,31.2
Devin Booker,PHX,1083,32,33.8
Devin Vassell,SAS,907,29,31.3
Devon Dotson,WAS,53,6,8.8
Devonte' Graham,NOP,811,53,15.3
Devonte' Graham,SAS,111,4,27.8
Dewayne Dedmon,MIA,350,30,11.7
Dillon Brooks,MEM,1585,52,30.5
Domantas Sabonis,SAC,1904,55,34.6
Dominick Barlow,SAS,95,10,9.5
Donovan Mitchell,CLE,1776,50,35.5
Donte DiVincenzo,GSW,1209,48,25.2
Dorian Finney-Smith,BKN,119,4,29.8
Dorian Finney-Smith,DAL,1288,40,32.2
Doug McDermott,SAS,1043,51,20.5
Draymond Green,GSW,1648,52,31.7
Drew Eubanks,POR,1096,56,19.6
Dru Smith,BKN,30,3,10
Dru Smith,MIA,67,5,13.4
Duane Washington Jr.,PHX,394,31,12.7
Duncan Robinson,MIA,524,29,18.1
Dwight Powell,DAL,1084,55,19.7
Dyson Daniels,NOP,778,39,19.9
Edmond Sumner,BKN,670,46,14.6
Eric Gordon,HOU,1418,47,30.2
Eric Gordon,LAC,22,1,22
Eugene Omoruyi,OKC,272,23,11.8
Evan Fournier,NYK,414,23,18
Evan Mobley,CLE,2016,59,34.2
Facundo Campazzo,DAL,52,8,6.5
Frank Kaminsky,ATL,176,26,6.8
Frank Kaminsky,HOU,20,2,10
Frank Ntilikina,DAL,431,36,12
Franz Wagner,ORL,1924,58,33.2
Fred VanVleet,TOR,1847,50,36.9
Furkan Korkmaz,PHI,255,25,10.2
Gabe Vincent,MIA,1183,45,26.3
Garrett Temple,NOP,129,18,7.2
Garrison Mathews,ATL,4,1,4
Garrison Mathews,HOU,601,45,13.4
Gary Harris,ORL,735,30,24.5
Gary Payton II,POR,257,15,17.1
Gary Trent Jr.,TOR,1682,50,33.6
George Hill,IND,10,1,10
George Hill,MIL,668,35,19.1
Georges Niang,PHI,1089,55,19.8
Giannis Antetokounmpo,MIL,1545,46,33.6
Goga Bitadze,IND,202,21,9.6
Goran Dragic,CHI,787,51,15.4
Gordon Hayward,CHA,1059,34,31.1
Gorgui Dieng,SAS,193,19,10.2
Grant Williams,BOS,1616,58,27.9
Grayson Allen,MIL,1463,53,27.6
Greg Brown III,POR,93,16,5.8
Hamidou Diallo,DET,841,50,16.8
Harrison Barnes,SAC,1861,57,32.6
Haywood Highsmith,MIA,847,43,19.7
Herbert Jones,NOP,1239,43,28.8
Immanuel Quickley,NYK,1635,59,27.7
Isaac Okoro,CLE,1295,61,21.2
Isaiah Hartenstein,NYK,1183,60,19.7
Isaiah Jackson,IND,689,45,15.3
Isaiah Joe,OKC,771,49,15.7
Isaiah Livers,DET,782,37,21.1
Isaiah Mobley,CLE,26,8,3.2
Isaiah Roby,SAS,474,42,11.3
Isaiah Stewart,DET,1364,48,28.4
Isaiah Todd,WAS,13,4,3.2
Ish Smith,DEN,311,30,10.4
Ish Wainright,PHX,646,41,15.8
Ivica Zubac,LAC,1704,58,29.4
JD Davison,BOS,14,6,2.3
JT Thor,CHA,506,47,10.8
Ja Morant,MEM,1572,48,32.8
JaMychal Green,GSW,558,38,14.7
JaVale McGee,DAL,293,36,8.1
Jabari Smith Jr.,HOU,1646,55,29.9
Jabari Walker,POR,335,38,8.8
Jack White,DEN,43,14,3.1
Jaden Hardy,DAL,367,31,11.8
Jaden Ivey,DET,1653,55,30.1
Jaden McDaniels,MIN,1737,57,30.5
Jaden Springer,PHI,26,7,3.7
Jae'Sean Tate,HOU,420,20,21
Jake LaRavia,MEM,381,30,12.7
Jakob Poeltl,SAS,1199,46,26.1
Jakob Poeltl,TOR,79,3,26.3
Jalen Brunson,NYK,1965,56,35.1
Jalen Duren,DET,1283,51,25.2
Jalen Green,HOU,1833,54,33.9
Jalen Johnson,ATL,790,55,14.4
Jalen McDaniels,CHA,1494,56,26.7
Jalen McDaniels,PHI,56,3,18.7
Jalen Smith,IND,928,51,18.2
Jalen Suggs,ORL,781,34,23
Jalen Williams,OKC,1539,53,29
Jamal Cain,MIA,181,13,13.9
Jamal Murray,DEN,1464,45,32.5
Jamaree Bouyea,MIA,65,4,16.2
James Bouknight,CHA,354,26,13.6
James Harden,PHI,1494,41,36.4
James Johnson,IND,98,12,8.2
James Wiseman,DET,24,1,24
James Wiseman,GSW,262,21,12.5
Jared Rhoden,DET,12,1,12
Jaren Jackson Jr.,MEM,1088,40,27.2
Jarred Vanderbilt,LAL,67,3,22.3
Jarred Vanderbilt,UTA,1253,52,24.1
Jarrett Allen,CLE,1795,54,33.2
Jarrett Culver,ATL,137,10,13.7
Jason Preston,LAC,122,13,9.4
Javonte Green,CHI,449,28,16
Jaxson Hayes,NOP,438,33,13.3
Jaylen Brown,BOS,1707,48,35.6
Jaylen Nowell,MIN,1188,60,19.8
Jaylin Williams,OKC,393,25,15.7
Jayson Tatum,BOS,2051,55,37.3
Jeff Dowtin Jr.,TOR,102,15,6.8
Jeff Green,DEN,711,37,19.2
Jerami Grant,POR,1927,54,35.7
Jeremiah Robinson-Earl,OKC,585,28,20.9
Jeremy Sochan,SAS,1242,48,25.9
Jericho Sims,NYK,767,47,16.3
Jevon Carter,MIL,1274,57,22.4
Jimmy Butler,MIA,1483,44,33.7
Jock Landale,PHX,717,50,14.3
Joe Harris,BKN,1215,51,23.8
Joe Ingles,MIL,541,24,22.5
Joe Wieskamp,TOR,17,2,8.5
Joel Embiid,PHI,1571,45,34.9
John Butler Jr.,POR,26,8,3.2
John Collins,ATL,1555,50,31.1
John Konchar,MEM,1097,49,22.4
John Wall,LAC,755,34,22.2
Johnny Davis,WAS,62,13,4.8
Jonas Valanciunas,NOP,1433,58,24.7
Jonathan Isaac,ORL,108,10,10.8
Jonathan Kuminga,GSW,886,46,19.3
Jordan Clarkson,UTA,1886,58,32.5
Jordan Goodwin,WAS,722,40,18
Jordan Hall,SAS,79,9,8.8
Jordan McLaughlin,MIN,356,23,15.5
Jordan Nwora,IND,26,2,13
Jordan Nwora,MIL,596,38,15.7
Jordan Poole,GSW,1780,58,30.7
Jordan Schakel,WAS,6,2,3
Jose Alvarado,NOP,1265,58,21.8
Josh Christopher,HOU,406,40,10.2
Josh Giddey,OKC,1602,52,30.8
Josh Green,DAL,995,40,24.9
Josh Hart,NYK,78,3,26
Josh Hart,POR,1704,51,33.4
Josh Minott,MIN,68,11,6.2
Josh Okogie,PHX,707,49,14.4
Josh Richardson,NOP,53,2,26.5
Josh Richardson,SAS,998,42,23.8
Joshua Primo,SAS,93,4,23.2
Jrue Holiday,MIL,1526,46,33.2
Juan Toscano-Anderson,LAL,365,30,12.2
Juan Toscano-Anderson,UTA,25,1,25
Juancho Hernangomez,TOR,609,41,14.9
Julian Champagnie,PHI,7,2,3.5
Julius Randle,NYK,2152,60,35.9
Justin Champagnie,TOR,11,3,3.7
Justin Holiday,ATL,411,28,14.7
Justin Jackson,BOS,107,23,4.7
Justise Winslow,POR,776,29,26.8
Jusuf Nurkic,POR,1223,45,27.2
KZ Okpala,SAC,248,35,7.1
Kai Jones,CHA,237,27,8.8
Karl-Anthony Towns,MIN,709,21,33.8
Kawhi Leonard,LAC,1066,33,32.3
Keegan Murray,SAC,1625,55,29.5
Keita Bates-Diop,SAS,905,45,20.1
Keldon Johnson,SAS,1695,52,32.6
Kelly Olynyk,UTA,1355,48,28.2
Kelly Oubre Jr.,CHA,1141,35,32.6
Kemba Walker,DAL,144,9,16
Kendall Brown,IND,40,6,6.7
Kendrick Nunn,LAL,526,39,13.5
Kendrick Nunn,WAS,189,10,18.9
Kennedy Chandler,MEM,221,24,9.2
Kenneth Lofton Jr.,MEM,31,8,3.9
Kenrich Williams,OKC,1101,49,22.5
Kentavious Caldwell-Pope,DEN,1758,56,31.4
Kenyon Martin Jr.,HOU,1526,58,26.3
Keon Ellis,SAC,36,9,4
Keon Johnson,POR,274,28,9.8
Kessler Edwards,BKN,80,14,5.7
Kessler Edwards,SAC,10,1,10
Kevin Durant,BKN,1403,39,36
Kevin Huerter,SAC,1648,54,30.5
Kevin Knox II,DET,593,42,14.1
Kevin Knox II,POR,14,2,7
Kevin Love,CLE,821,41,20
Kevin Porter Jr.,HOU,1360,40,34
Kevon Harris,ORL,336,27,12.4
Kevon Looney,GSW,1353,58,23.3
Khem Birch,TOR,162,20,8.1
Khris Middleton,MIL,364,17,21.4
Killian Hayes,DET,1471,55,26.7
Kira Lewis Jr.,NOP,155,14,11.1
Klay Thompson,GSW,1508,46,32.8
Kristaps Porzingis,WAS,1595,49,32.6
Kyle Anderson,MIN,1221,47,26
Kyle Kuzma,WAS,1816,52,34.9
Kyle Lowry,MIA,1464,44,33.3
Kyrie Irving,BKN,1477,40,36.9
Kyrie Irving,DAL,154,4,38.5
LaMelo Ball,CHA,1167,33,35.4
Lamar Stevens,CLE,739,42,17.6
Landry Shamet,PHX,642,30,21.4
Larry Nance Jr.,NOP,1089,48,22.7
Lauri Markkanen,UTA,1851,54,34.3
LeBron James,LAL,1632,45,36.3
Leandro Bolmaro,UTA,68,14,4.9
Lindy Waters III,OKC,257,23,11.2
Lonnie Walker IV,LAL,1123,42,26.7
Luguentz Dort,OKC,1494,50,29.9
Luka Doncic,DAL,1826,50,36.5
Luka Garza,MIN,205,22,9.3
Luke Kennard,LAC,725,35,20.7
Luke Kennard,MEM,42,2,21
Luke Kornet,BOS,606,51,11.9
Malachi Flynn,TOR,582,42,13.9
Malaki Branham,SAS,989,45,22
Malcolm Brogdon,BOS,1264,50,25.3
Malcolm Hill,CHI,2,4,0.5
Malik Beasley,LAL,61,3,20.3
Malik Beasley,UTA,1470,55,26.7
Malik Monk,SAC,1218,54,22.6
Mamadi Diakite,CLE,98,16,6.1
MarJon Beauchamp,MIL,541,37,14.6
Marcus Morris Sr.,LAC,1500,52,28.8
Marcus Smart,BOS,1360,42,32.4
Mark Williams,CHA,461,29,15.9
Markelle Fultz,ORL,1108,38,29.2
Markieff Morris,BKN,285,27,10.6
Marko Simonovic,CHI,3,2,1.5
Marvin Bagley III,DET,531,25,21.2
Mason Plumlee,CHA,1597,56,28.5
Mason Plumlee,LAC,17,1,17
Matisse Thybulle,PHI,591,49,12.1
Matisse Thybulle,POR,57,2,28.5
Matt Ryan,LAL,129,12,10.8
Matt Ryan,MIN,174,20,8.7
Matthew Dellavedova,SAC,146,24,6.1
Max Christie,LAL,498,35,14.2
Max Strus,MIA,1722,57,30.2
Maxi Kleber,DAL,564,22,25.6
McKinley Wright IV,DAL,206,20,10.3
Mfiondu Kabengele,BOS,14,2,7
Micah Potter,UTA,14,3,4.7
Michael Porter Jr.,DEN,1234,42,29.4
Mikal Bridges,BKN,99,3,33
Mikal Bridges,PHX,2039,56,36.4
Mike Conley,MIN,58,2,29
Mike Conley,UTA,1276,43,29.7
Mike Muscala,BOS,76,3,25.3
Mike Muscala,OKC,622,43,14.5
Miles McBride,NYK,592,47,12.6
Mitchell Robinson,NYK,1020,38,26.8
Mo Bamba,LAL,16,1,16
Mo Bamba,ORL,681,40,17
Monte Morris,WAS,1385,49,28.3
Montrezl Harrell,PHI,624,50,12.5
Moritz Wagner,ORL,799,38,21
Moses Brown,LAC,288,34,8.5
Moses Moody,GSW,627,44,14.2
Moussa Diabate,LAC,171,17,10.1
Myles Turner,IND,1489,50,29.8
Naji Marshall,NOP,1345,54,24.9
Nassir Little,POR,620,37,16.8
Nathan Knight,MIN,268,33,8.1
Naz Reid,MIN,926,52,17.8
Neemias Queta,SAC,25,4,6.2
Nerlens Noel,DET,152,14,10.9
Nic Claxton,BKN,1592,54,29.5
Nick Richards,CHA,776,45,17.2
Nickeil Alexander-Walker,MIN,2,1,2
Nickeil Alexander-Walker,UTA,528,36,14.7
Nicolas Batum,LAC,1214,56,21.7
Nikola Jokic,DEN,1714,51,33.6
Nikola Jovic,MIA,204,15,13.6
Nikola Vucevic,CHI,1973,58,34
Noah Vonleh,BOS,171,23,7.4
Norman Powell,LAC,1291,50,25.8
O.G. Anunoby,TOR,1611,45,35.8
Obi Toppin,NYK,669,45,14.9
Ochai Agbaji,UTA,557,37,15.1
Onyeka Okongwu,ATL,1365,57,23.9
Orlando Robinson,MIA,398,29,13.7
Oshae Brissett,IND,786,49,16
Otto Porter Jr.,TOR,146,8,18.2
Ousmane Dieng,OKC,284,19,14.9
P.J. Tucker,PHI,1415,55,25.7
P.J. Washington,CHA,1940,59,32.9
PJ Dozier,SAC,10,4,2.5
Paolo Banchero,ORL,1754,52,33.7
Pascal Siakam,TOR,1847,49,37.7
Pat Connaughton,MIL,1044,41,25.5
Patrick Baldwin Jr.,GSW,129,16,8.1
Patrick Beverley,LAL,1211,45,26.9
Patrick Williams,CHI,1686,58,29.1
Patty Mills,BKN,478,36,13.3
Paul George,LAC,1470,43,34.2
Paul Reed,PHI,422,44,9.6
Payton Pritchard,BOS,536,42,12.8
Peyton Watson,DEN,38,12,3.2
Precious Achiuwa,TOR,827,35,23.6
Quentin Grimes,NYK,1479,49,30.2
Quenton Jackson,WAS,8,3,2.7
R.J. Hampton,ORL,361,26,13.9
RJ Barrett,NYK,1830,53,34.5
Raul Neto,CLE,403,39,10.3
Reggie Bullock,DAL,1764,58,30.4
Reggie Jackson,LAC,1338,52,25.7
Richaun Holmes,SAC,301,33,9.1
Ricky Rubio,CLE,235,14,16.8
Robert Covington,LAC,584,36,16.2
Robert Williams III,BOS,543,23,23.6
Robin Lopez,CLE,238,30,7.9
Rodney McGruder,DET,217,21,10.3
Romeo Langford,SAS,649,32,20.3
Ron Harper Jr.,TOR,9,3,3
Royce O'Neale,BKN,1837,55,33.4
Rudy Gay,UTA,645,44,14.7
Rudy Gobert,MIN,1489,49,30.4
Rui Hachimura,LAL,288,11,26.2
Rui Hachimura,WAS,728,30,24.3
Russell Westbrook,LAL,1491,52,28.7
Ryan Arcidiacono,NYK,26,11,2.4
Ryan Arcidiacono,POR,9,2,4.5
Ryan Rollins,GSW,62,12,5.2
Saben Lee,PHI,10,2,5
Saben Lee,PHX,276,17,16.2
Saddiq Bey,ATL,39,2,19.5
Saddiq Bey,DET,1505,52,28.9
Sam Hauser,BOS,903,57,15.8
Sandro Mamukelashvili,MIL,197,23,8.6
Santi Aldama,MEM,1194,54,22.1
Scottie Barnes,TOR,1971,56,35.2
Scotty Pippen Jr.,LAL,32,6,5.3
Serge Ibaka,MIL,185,16,11.6
Seth Curry,BKN,914,40,22.9
Shaedon Sharpe,POR,1157,57,20.3
Shai Gilgeous-Alexander,OKC,1877,53,35.4
Shake Milton,PHI,1138,53,21.5
Simone Fontecchio,UTA,299,31,9.6
Spencer Dinwiddie,BKN,138,4,34.5
Spencer Dinwiddie,DAL,1808,53,34.1
Stanley Johnson,SAS,469,30,15.6
Stanley Umude,DET,2,1,2
Stephen Curry,GSW,1313,38,34.6
Sterling Brown,LAL,24,4,6
Steven Adams,MEM,1133,42,27
Svi Mykhailiuk,CHA,25,1,25
Svi Mykhailiuk,NYK,40,13,3.1
T.J. McConnell,IND,1119,57,19.6
T.J. Warren,BKN,491,26,18.9
T.J. Warren,PHX,7,1,7
Taj Gibson,WAS,353,36,9.8
Talen Horton-Tucker,UTA,760,46,16.5
Tari Eason,HOU,1125,58,19.4
Taurean Prince,MIN,765,36,21.2
Terance Mann,LAC,1376,59,23.3
Terence Davis,SAC,607,44,13.8
Terrence Ross,ORL,944,42,22.5
Terry Rozier,CHA,1746,49,35.6
Terry Taylor,IND,228,26,8.8
Thaddeus Young,TOR,754,47,16
Thanasis Antetokounmpo,MIL,98,24,4.1
Theo Maledon,CHA,581,36,16.1
Theo Pinson,DAL,232,32,7.2
Thomas Bryant,DEN,30,3,10
Thomas Bryant,LAL,873,41,21.3
Tim Hardaway Jr.,DAL,1633,54,30.2
Tobias Harris,PHI,1779,53,33.6
Tony Bradley,CHI,30,11,2.7
Torrey Craig,PHX,1448,56,25.9
Trae Young,ATL,1841,52,35.4
Tre Jones,SAS,1523,52,29.3
Tre Mann,OKC,938,51,18.4
Trendon Watford,POR,681,42,16.2
Trent Forrest,ATL,239,18,13.3
Trevelin Queen,IND,70,7,10
Trevor Hudgins,HOU,27,4,6.8
Trevor Keels,NYK,1,1,1
Trey Lyles,SAC,811,51,15.9
Trey Murphy III,NOP,1644,56,29.4
Troy Brown Jr.,LAL,1279,53,24.1
Ty Jerome,GSW,642,36,17.8
TyTy Washington Jr.,HOU,292,23,12.7
Tyler Dorsey,DAL,8,3,2.7
Tyler Herro,MIA,1595,45,35.4
Tyrese Haliburton,IND,1605,48,33.4
Tyrese Martin,ATL,45,13,3.5
Tyrese Maxey,PHI,1245,38,32.8
Tyus Jones,MEM,1319,57,23.1
Udoka Azubuike,UTA,137,24,5.7
Udonis Haslem,MIA,46,6,7.7
Usman Garuba,HOU,693,51,13.6
Vernon Carey Jr.,WAS,28,11,2.5
Victor Oladipo,MIA,739,26,28.4
Vince Williams Jr.,MEM,49,9,5.4
Vit Krejci,ATL,120,21,5.7
Vlatko Cancar,DEN,705,44,16
Walker Kessler,UTA,1214,57,21.3
Wendell Carter Jr.,ORL,1173,39,30.1
Wendell Moore Jr.,MIN,139,24,5.8
Wenyen Gabriel,LAL,709,46,15.4
Wesley Matthews,MIL,587,38,15.4
Will Barton,WAS,782,40,19.6
Willy Hernangomez,NOP,372,29,12.8
Xavier Tillman,MEM,560,38,14.7
Yuta Watanabe,BKN,772,43,18
Zach Collins,SAS,1016,48,21.2
Zach LaVine,CHI,1950,54,36.1
Zeke Nnaji,DEN,584,44,13.3
Ziaire Williams,MEM,486,28,17.4
Zion Williamson,NOP,956,29,33
