player,Position,Experience,Birth,Age,Salary,S+1,S+2,S+3
D'Angelo Russell,PG,7,2/23/1996,26,31377750,0,0,0
Daishen Nix,SG,1,2/13/2002,20,1563518,1836096,1988598,0
Dalano Banton,PG,1,11/7/1999,22,1563518,0,0,0
Dalen Terry,SG,0,7/12/2002,20,3191400,3350760,3510480,5399118
Damian Jones,C,6,6/30/1995,27,2298385,2586665,0,0
Damian Lillard,PG,10,7/15/1990,32,42492492,45640084,48787676,58545211
Damion Lee,SG,5,10/21/1992,29,2133278,0,0,0
Daniel Gafford,C,3,10/1/1998,24,1930681,12402000,13394160,14386320
Daniel Theis,C,5,4/4/1992,30,8694369,9108386,9522404,0
Danny Green,SF,13,6/22/1987,35,9710528,0,0,0
Danuel House Jr.,SF,6,6/7/1993,29,4105000,4310250,0,0
Dario Saric,PF,5,4/8/1994,28,9240000,0,0,0
Darius Bazley,PF,3,6/12/2000,22,4264628,6205035,0,0
Darius Days,PF,0,10/20/1999,22,508891,1761752,0,0
Darius Garland,PG,3,1/26/2000,22,8920794,33500000,36180000,38860000
David Duke Jr.,PG,1,10/13/1999,23,508891,1761752,0,0
David Roddy,PF,0,3/27/2001,21,2588640,2718240,2847240,4831766
Davion Mitchell,PG,1,9/5/1998,24,4833600,5063640,6451077,8741210
Davis Bertans,PF,6,11/12/1992,29,16000000,17000000,16000000,0
Davon Reed,SG,3,6/11/1995,27,1902133,2066585,0,0
Day'Ron Sharpe,PF,1,11/6/2001,20,2109480,2210040,3989122,5983683
De'Aaron Fox,PG,5,12/20/1997,24,30351780,32600060,34848340,37096620
De'Andre Hunter,SF,3,12/2/1997,24,9835881,20089286,21696429,23303571
De'Anthony Melton,SG,4,5/28/1998,24,8250000,8000000,0,0
DeAndre Jordan,C,14,7/21/1988,34,10733758,0,0,0
DeMar DeRozan,PF,13,8/7/1989,33,27300000,28600000,0,0
Dean Wade,PF,3,11/20/1996,25,1930681,5709877,6166667,6623456
Deandre Ayton,C,4,7/23/1998,24,30913750,32459438,34005126,35550814
Dejounte Murray,PG,5,9/19/1996,26,16571120,17714000,0,0
Delon Wright,SG,7,4/26/1992,30,7804878,8195122,0,0
Deni Avdija,SF,2,1/3/2001,21,4916160,6263188,8486619,0
Dennis Schroder,PG,9,9/15/1993,29,2641682,0,0,0
Dennis Smith Jr.,PG,5,11/25/1997,24,2133278,0,0,0
Deonte Burton,SG,2,1/31/1994,28,105522,0,0,0
Dereon Seabron,SG,0,5/26/2000,22,508891,1761752,0,0
Derrick Jones Jr.,PF,6,2/15/1997,25,3200000,3360000,0,0
Derrick Rose,PG,13,10/4/1988,34,14520730,15596339,0,0
Derrick White,SG,5,7/2/1994,28,16892857,18107143,19321429,0
Desmond Bane,SG,2,6/25/1998,24,2130240,3845083,5767625,0
Devin Booker,SG,7,10/30/1996,25,33833400,36016200,50050000,54054000
Devin Vassell,SF,2,8/23/2000,22,4437000,5887899,8060534,0
Devon Dotson,PG,2,8/2/1999,23,169630,0,0,0
Devonte' Graham,PG,4,2/22/1995,27,11550000,12100000,12650000,0
Dewayne Dedmon,C,9,8/12/1989,33,7448674,7072674,2748674,0
Dillon Brooks,SF,5,1/22/1996,26,11400000,0,0,0
Domantas Sabonis,C,6,5/3/1996,26,18500000,19400000,0,0
Dominick Barlow,SF,0,5/26/2003,19,508891,1761752,0,0
Donovan Mitchell,SG,5,9/7/1996,26,30913750,33162030,35410310,37096620
Donte DiVincenzo,SG,4,1/31/1997,25,4500000,4725000,0,0
Dorian Finney-Smith,PF,6,5/4/1993,29,12939848,13932008,14924167,15378480
Doug McDermott,PF,8,1/3/1992,30,13750000,13750000,0,0
Draymond Green,PF,10,3/4/1990,32,25806468,27586224,0,0
Drew Eubanks,C,4,2/1/1997,25,1968175,0,0,0
Dru Smith,SG,0,12/30/1997,24,374357,0,0,0
Duane Washington Jr.,PG,1,3/24/2000,22,508891,0,0,0
Duncan Robinson,SG,4,4/22/1994,28,16902000,18154000,19406000,19888000
Dwight Powell,C,8,7/20/1991,31,11080125,0,0,0
Dyson Daniels,PG,0,3/17/2003,19,5508600,5784120,6059520,7707709
Edmond Sumner,SG,4,12/31/1995,26,1968175,2239943,0,0
Eric Gordon,SG,14,12/25/1988,33,19568360,20917902,0,0
Eugene Omoruyi,SF,1,2/14/1997,25,885250,2089184,0,0
Evan Fournier,SG,10,10/29/1992,29,18000000,18857143,19000000,0
Evan Mobley,PF,1,6/18/2001,21,8478720,8882640,11227657,14730686
Facundo Campazzo,PG,2,3/23/1991,31,464299,0,0,0
Frank Kaminsky,C,7,4/4/1993,29,2463490,0,0,0
Frank Ntilikina,SG,5,7/28/1998,24,2036318,0,0,0
Franz Wagner,SF,1,8/27/2001,21,5258280,5508720,7007092,9445560
Fred VanVleet,PG,6,2/25/1994,28,21250000,22824074,0,0
Furkan Korkmaz,SG,5,7/24/1997,25,5000000,5370370,0,0
Gabe Vincent,PG,3,6/14/1996,26,1815677,0,0,0
Garrett Temple,SG,12,5/8/1986,36,5155500,5401000,0,0
Garrison Mathews,SG,3,10/24/1996,25,2000000,2000000,2230253,0
Gary Harris,SG,8,9/14/1994,28,13000000,13000000,0,0
Gary Payton II,SG,6,1/1/1992,30,8300000,8715000,9130000,0
Gary Trent Jr.,SG,4,1/18/1999,23,17505000,18785000,0,0
George Hill,PG,14,5/4/1986,36,4000000,0,0,0
Georges Niang,PF,6,6/17/1993,29,3465000,0,0,0
Giannis Antetokounmpo,PF,9,12/6/1994,27,42492492,45640084,48787676,51935268
Goga Bitadze,C,3,7/20/1999,23,4765339,0,0,0
Goran Dragic,PG,14,5/6/1986,36,2905851,0,0,0
Gordon Hayward,SF,12,3/23/1990,32,30075000,31500000,0,0
Gorgui Dieng,C,9,1/18/1990,32,4105236,0,0,0
Grant Williams,PF,3,11/30/1998,23,4306281,6235494,0,0
Grayson Allen,SG,4,10/8/1995,27,8500000,8500000,0,0
Greg Brown III,SF,1,9/1/2001,21,1563518,1836096,0,0
Hamidou Diallo,SG,4,7/31/1998,24,5200000,0,0,0
Harrison Barnes,PF,10,5/30/1992,30,18352273,0,0,0
Haywood Highsmith,SF,2,12/9/1996,25,1752638,1902137,0,0
Herbert Jones,PF,1,10/6/1998,24,1785000,1836096,0,0
Immanuel Quickley,PG,2,6/17/1999,23,2316240,4171548,6128004,0
Isaac Okoro,SF,2,1/26/2001,21,7040880,8920794,11828974,0
Isaiah Hartenstein,C,4,5/5/1998,24,7804879,8195121,0,0
Isaiah Jackson,PF,1,1/10/2002,20,2573760,2696280,4435380,6422431
Isaiah Joe,SG,2,7/2/1999,23,1836090,1997238,2164993,0
Isaiah Livers,SF,1,7/28/1998,24,1563518,1836096,0,0
Isaiah Mobley,PF,0,9/24/1999,23,508891,1761752,0,0
Isaiah Roby,PF,3,2/3/1998,24,1930681,0,0,0
Isaiah Stewart,C,2,5/22/2001,21,3433320,5266713,7399731,0
Isaiah Todd,PF,1,10/17/2001,21,1575000,1836096,1988598,0
Ish Smith,PG,12,7/5/1988,34,4725000,0,0,0
Ish Wainright,PF,1,9/12/1994,28,633891,1761752,0,0
Ivica Zubac,C,6,3/18/1997,25,10123457,10933333,11743210,0
JD Davison,PG,0,10/3/2002,20,508891,1761752,0,0
JT Thor,PF,1,8/26/2002,20,1563518,1836096,1988598,0
Ja Morant,PG,3,8/10/1999,23,12119440,33500000,36180000,38860000
JaMychal Green,PF,8,6/21/1990,32,8200000,0,0,0
JaVale McGee,C,14,1/19/1988,34,5461219,5734280,6007341,0
Jabari Smith Jr.,PF,0,5/13/2003,19,8882640,9326520,9770880,12350392
Jabari Walker,SF,0,7/30/2002,20,1017781,1719864,2019699,0
Jack White,SF,0,8/5/1997,25,508891,1761752,0,0
Jaden Hardy,SG,0,7/5/2002,20,1017781,1719864,2019699,0
Jaden Ivey,SG,0,2/13/2002,20,7252200,7614480,7977240,10107163
Jaden McDaniels,PF,3,1/31/1998,24,2161440,3901399,5813084,0
Jaden Springer,SG,1,9/25/2002,20,2125200,2226240,4018363,5987361
Jae'Sean Tate,PF,2,10/28/1995,26,7065217,6500000,7065217,0
Jake LaRavia,PF,0,11/3/2001,20,3047640,3199920,3352680,5163127
Jakob Poeltl,C,6,10/15/1995,27,9398148,0,0,0
Jalen Brunson,SG,4,8/31/1996,26,27733332,26346666,24960001,24960001
Jalen Duren,C,0,11/18/2003,18,4124280,4330680,4536840,6483144
Jalen Green,SG,1,2/9/2002,20,9441840,9891480,12483048,16290377
Jalen Johnson,PF,1,12/18/2001,20,2792640,2925360,4510905,6464127
Jalen McDaniels,SF,3,1/31/1998,24,1930681,0,0,0
Jalen Smith,PF,2,3/16/2000,22,4670160,5043773,5417386,0
Jalen Suggs,PG,1,7/3/2001,21,6922320,7252080,9188385,12183799
Jalen Williams,SG,0,4/14/2001,21,4341480,4558680,4775760,6580997
Jamal Cain,SF,0,3/20/1999,23,508891,1761752,0,0
Jamal Murray,PG,5,2/23/1997,25,31650600,33833400,36016200,0
Jamaree Bouyea,PG,0,6/27/1999,23,58493,0,0,0
James Bouknight,SG,1,9/18/2000,22,4362240,4570080,6064496,8302295
James Harden,PG,13,8/26/1989,33,33000000,35640000,0,0
James Johnson,PF,13,2/20/1987,35,3824367,0,0,0
James Wiseman,C,1,3/31/2001,21,9603360,12119440,15815870,0
Jared Rhoden,SG,0,8/27/1999,23,307089,1761752,0,0
Jaren Jackson Jr.,PF,4,9/15/1999,23,28946605,27102202,25257798,23413395
Jarred Vanderbilt,PF,4,4/3/1999,23,4374000,4698000,0,0
Jarrett Allen,C,5,4/21/1998,24,20000000,20000000,20000000,20000000
Jarrett Culver,SG,3,2/20/1999,23,260295,0,0,0
Jason Preston,PG,0,8/10/1999,23,1563518,1836096,0,0
Javonte Green,SF,8,6/21/1990,32,1815677,0,0,0
Jaxson Hayes,C,3,5/23/2000,22,6803012,9170460,0,0
Jaylen Brown,SF,6,10/24/1996,25,28741071,30723214,0,0
Jaylen Nowell,SG,3,7/9/1999,23,1930681,0,0,0
Jaylin Williams,PF,0,6/29/2002,20,2000000,2000000,2019699,2187699
Jayson Tatum,SF,5,3/3/1998,24,30351780,32600060,34848340,37096620
Jeff Dowtin Jr.,PG,1,5/10/1997,25,508891,1761752,0,0
Jeff Green,PF,14,8/28/1986,36,4500000,0,0,0
Jerami Grant,PF,8,3/12/1994,28,20955000,0,0,0
Jeremiah Robinson-Earl,C,1,11/3/2000,21,2000000,1900000,1988598,0
Jeremy Sochan,PF,0,5/20/2003,19,5063520,5316960,5570040,7096231
Jericho Sims,PF,1,10/20/1998,23,1639842,1927896,2092344,0
Jevon Carter,PG,4,9/14/1995,27,6025000,2239943,0,0
Jimmy Butler,SF,11,9/14/1989,33,37653300,45183960,48798677,52413394
Jock Landale,C,1,10/25/1995,26,1563518,0,0,0
Joe Harris,SF,8,9/6/1991,31,18642857,19928571,0,0
Joe Ingles,SF,8,10/2/1987,35,6479000,0,0,0
Joe Wieskamp,SG,1,8/23/1999,23,2363272,0,0,0
Joel Embiid,C,6,3/16/1994,28,33616770,46900000,50652000,54404000
John Butler Jr.,C,0,12/4/2002,19,503041,1761752,0,0
John Collins,PF,5,9/23/1997,25,23500000,25340000,26580000,26580000
John Konchar,SG,3,3/22/1996,26,2300000,2400000,6165000,6165000
John Wall,PG,10,9/6/1990,32,47345760,0,0,0
Johnny Davis,SG,0,2/27/2002,20,4810320,5050800,5291160,6746229
Jonas Valanciunas,C,10,5/6/1992,30,14700000,15435000,0,0
Jonathan Isaac,PF,3,10/3/1997,25,17400000,17400000,17400000,0
Jonathan Kuminga,SF,1,10/6/2002,20,5739840,6012840,7636307,10240287
Jordan Clarkson,SG,8,6/7/1992,30,13340000,14260000,0,0
Jordan Goodwin,SG,1,10/23/1998,23,508891,1761752,0,0
Jordan Hall,SF,0,1/14/2002,20,193027,0,0,0
Jordan McLaughlin,PG,3,4/9/1996,26,2160000,2320000,0,0
Jordan Nwora,SF,2,9/9/1998,24,3000000,3200000,0,0
Jordan Poole,SG,3,6/19/1999,23,3901399,28705357,30901786,33098215
Jordan Schakel,SG,1,6/13/1998,24,96514,0,0,0
Jose Alvarado,PG,1,4/12/1998,24,1563518,1836096,1988598,0
Josh Christopher,SG,1,12/8/2001,20,2372160,2485200,4346615,6354751
Josh Giddey,SF,1,10/10/2002,20,6287400,6587040,8352367,11142057
Josh Green,SG,2,11/16/2000,21,3098400,4765339,6762016,0
Josh Hart,SG,5,3/6/1995,27,12960000,12960000,0,0
Josh Minott,SF,0,11/25/2002,19,1017781,1719864,2019699,2187699
Josh Okogie,SG,4,9/1/1998,24,1968175,0,0,0
Josh Richardson,SG,7,9/15/1993,29,12196094,0,0,0
Joshua Primo,SF,1,12/24/2002,19,4144320,4341600,0,0
Jrue Holiday,PG,13,6/12/1990,32,33665040,36158747,38652454,0
Juan Toscano-Anderson,SF,3,4/10/1993,29,2133278,0,0,0
Juancho Hernangomez,PF,6,9/28/1995,27,2298385,0,0,0
Julian Champagnie,SF,0,6/29/2001,21,508891,1761752,0,0
Julius Randle,PF,8,11/29/1994,27,23760000,25660800,27561600,29462400
Justin Champagnie,SF,1,6/29/2001,21,825000,0,0,0
Justin Holiday,SG,9,4/5/1989,33,6292440,0,0,0
Justin Jackson,SF,5,3/28/1995,27,1836090,0,0,0
Justise Winslow,PF,7,3/26/1996,26,4097561,0,0,0
Jusuf Nurkic,C,8,8/23/1994,28,15625000,16875000,18125000,19375000
KZ Okpala,PF,3,4/28/1999,23,1902133,2066585,0,0
Kai Jones,C,1,1/19/2001,21,2909040,3047880,4693735,6693266
Karl-Anthony Towns,C,7,11/15/1995,26,33833400,36016200,50050000,54054000
Kawhi Leonard,SF,10,6/29/1991,31,42492492,45640084,48787676,0
Keegan Murray,SF,0,8/19/2000,22,8008440,8409000,8809560,11144093
Keita Bates-Diop,SF,4,1/23/1996,26,1878720,0,0,0
Keldon Johnson,SF,3,10/11/1999,23,3873024,20000000,19000000,17500000
Kelly Olynyk,C,9,4/19/1991,31,12804878,12195122,0,0
Kelly Oubre Jr.,SF,7,12/9/1995,26,12600000,0,0,0
Kemba Walker,PG,11,5/8/1990,32,37281261,0,0,0
Kendall Brown,SG,0,5/11/2003,19,508891,1761752,0,0
Kendrick Nunn,SG-PG,2,8/3/1995,27,5250000,0,0,0
Kennedy Chandler,PG,0,9/16/2002,20,1200000,1719864,2019699,2187699
Kenneth Lofton Jr.,PF,0,8/14/2002,20,508891,1761752,0,0
Kenrich Williams,SF,4,12/2/1994,27,2000000,6175000,6669000,7163000
Kentavious Caldwell-Pope,SG,9,2/18/1993,29,14004703,14704938,15440185,0
Kenyon Martin Jr.,SF,2,1/6/2001,21,1782621,1930681,0,0
Keon Ellis,SG,0,1/8/2000,22,508891,1761752,0,0
Keon Johnson,SG,1,3/10/2002,20,2681040,2808720,4474291,6447453
Kessler Edwards,SF,1,8/9/2000,22,1637966,1927896,0,0
Kevin Durant,PF,14,9/29/1988,34,44119845,47649433,51179020,54708608
Kevin Huerter,SF,4,8/27/1998,24,14508929,15669643,16830357,17991071
Kevin Knox II,SF,4,8/11/1999,23,3000000,3000000,0,0
Kevin Love,C,14,9/7/1988,34,28942830,0,0,0
Kevin Porter Jr.,PG,3,5/4/2000,22,3217631,18239000,18239000,18239000
Kevon Harris,SG,0,6/24/1997,25,508891,547349,0,0
Kevon Looney,C,7,2/6/1996,26,8000000,8500000,9000000,0
Khem Birch,C,5,9/28/1992,30,6667500,6985000,0,0
Khris Middleton,SF,10,8/12/1991,31,37984276,40396552,0,0
Killian Hayes,PG,2,7/27/2001,21,5837760,7413955,9942114,0
Kira Lewis Jr.,PG,2,4/6/2001,21,4004280,5722116,7913686,0
Klay Thompson,SG,9,2/8/1990,32,40600080,43219440,0,0
Kristaps Porzingis,PF,6,8/2/1995,27,33833400,36016200,0,0
Kyle Anderson,PF,8,9/20/1993,29,8780488,9219512,0,0
Kyle Kuzma,PF,5,7/24/1995,27,13000000,13000000,0,0
Kyle Lowry,PG,16,3/25/1986,36,28333334,29682540,0,0
Kyrie Irving,PG,11,3/23/1992,30,38917057,0,0,0
LaMelo Ball,PG,2,8/22/2001,21,8623920,10900635,14301633,0
Lamar Stevens,PF,2,7/9/1997,25,1782621,1930681,0,0
Landry Shamet,SG,4,3/13/1997,25,9500000,10250000,11000000,11750000
Larry Nance Jr.,PF,7,1/1/1993,29,9672727,10375000,11205000,0
Lauri Markkanen,SF,5,5/22/1997,25,16475454,17259999,18044544,0
LeBron James,PF,19,12/30/1984,37,44474988,46698737,50434636,0
Leandro Bolmaro,SF,1,9/11/2000,22,2471160,2588400,4392515,6391109
Lindy Waters III,SG,1,7/28/1997,25,502080,0,0,0
Lonnie Walker IV,SG,4,12/14/1998,23,6479000,0,0,0
Luguentz Dort,SG,3,4/19/1999,23,15277778,15277778,16500000,17722222
Luka Doncic,PG,4,2/28/1999,23,37096500,40064220,43031940,45999660
Luka Garza,C,1,12/27/1998,23,508891,1761752,0,0
Luke Kennard,SG,5,6/24/1996,26,13745455,14763636,14763636,0
Luke Kornet,C,5,7/15/1995,27,2133278,2413304,0,0
Malachi Flynn,PG,2,5/10/1998,24,2145720,3873024,5809537,0
Malaki Branham,SF,0,5/12/2003,19,2925600,3071880,3217920,4962033
Malcolm Brogdon,PG,6,12/11/1992,29,22600000,22500000,22500000,0
Malcolm Hill,SF,1,10/26/1995,26,508891,1761752,0,0
Malik Beasley,SG,6,11/26/1996,25,15558035,16524106,0,0
Malik Monk,SG,5,2/4/1998,24,9472219,9945830,0,0
Mamadi Diakite,PF,2,1/21/1997,25,508891,1761752,0,0
MarJon Beauchamp,SF,0,10/12/2000,22,2485200,2609400,2733720,4781276
Marcus Morris Sr.,PF,11,9/2/1989,33,16372093,17116279,0,0
Marcus Smart,PG,8,3/6/1994,28,17207142,18583713,19960285,21336856
Mark Williams,C,0,12/16/2001,20,3722040,3908160,4094280,6276531
Markelle Fultz,PG,5,5/29/1998,24,16500000,17000000,0,0
Markieff Morris,PF,11,9/2/1989,33,2905851,0,0,0
Marko Simonovic,C,1,10/15/1999,23,1563518,1836096,0,0
Marvin Bagley III,PF,4,3/14/1999,23,12500000,12500000,12500000,0
Mason Plumlee,C,9,3/5/1990,32,9080417,0,0,0
Matisse Thybulle,SG,3,3/4/1997,25,4379526,6275861,0,0
Matt Ryan,SF,1,4/17/1997,25,806097,1761752,0,0
Matthew Dellavedova,PG,8,9/8/1990,32,2628597,0,0,0
Max Christie,SG,0,2/10/2003,19,1017781,1719864,0,0
Max Strus,SF,3,3/28/1996,26,1815677,0,0,0
Maxi Kleber,PF,5,1/29/1992,30,9000000,11000000,11000000,11000000
McKinley Wright IV,PG,1,10/25/1998,23,508891,1761752,0,0
Mfiondu Kabengele,PF,2,8/14/1997,25,508891,1761752,0,0
Micah Potter,C,1,4/6/1998,24,508891,547349,0,0
Michael Porter Jr.,SF,3,6/29/1998,24,30913750,33386850,35859950,38333050
Mikal Bridges,SF,4,8/30/1996,26,20100000,21700000,23300000,24900000
Mike Conley,PG,15,10/11/1987,35,22680000,24360000,0,0
Mike Muscala,C,9,7/1/1991,31,3500000,3500000,0,0
Miles McBride,PG,1,9/8/2000,22,1563518,1836096,0,0
Mitchell Robinson,C,4,4/1/1998,24,17045454,15681818,14318182,12954546
Mo Bamba,C,4,5/12/1998,24,10300000,10300000,0,0
Monte Morris,PG,5,6/27/1995,27,9125000,9800926,0,0
Montrezl Harrell,C,7,1/26/1994,28,2463490,2760026,0,0
Moritz Wagner,C,4,4/26/1997,25,1878720,0,0,0
Moses Brown,C,3,10/13/1999,23,508891,1761752,0,0
Moses Moody,SG,1,5/31/2002,20,3740160,3918480,5803269,8072347
Moussa Diabate,PF,0,1/21/2002,20,508891,1761752,0,0
Myles Turner,C,7,3/24/1996,26,35096500,20975000,19928500,0
Naji Marshall,SF,2,1/24/1998,24,1782621,1930681,0,0
Nassir Little,SF,3,2/11/2000,22,4171548,6250000,6750000,7250000
Nathan Knight,PF,2,9/20/1997,25,1836090,1997238,0,0
Naz Reid,C,3,8/26/1999,23,1930681,0,0,0
Neemias Queta,C,1,7/13/1999,23,508891,1761752,0,0
Nerlens Noel,C,8,4/10/1994,28,9240000,9680000,0,0
Nic Claxton,C,3,4/17/1999,23,8500000,8750000,0,0
Nick Richards,C,2,11/29/1997,24,1782621,0,0,0
Nickeil Alexander-Walker,SG,3,9/2/1998,24,5009633,7073602,0,0
Nicolas Batum,PF,14,12/14/1988,33,19700319,11710818,0,0
Nikola Jokic,C,7,2/19/1995,27,33047803,46550000,50274000,53998000
Nikola Jovic,PF,0,6/9/2003,19,2239920,2352000,2464200,4445417
Nikola Vucevic,C,11,10/24/1990,31,22000000,0,0,0
Noah Vonleh,PF,7,8/24/1995,27,1160955,0,0,0
Norman Powell,SG,7,5/25/1993,29,16758621,18000000,19241379,20482758
O.G. Anunoby,SF,5,7/17/1997,25,17357143,18642857,19928571,0
Obi Toppin,PF,2,3/4/1998,24,5348280,6803012,9170460,0
Ochai Agbaji,SG,0,4/20/2000,22,3918360,4114200,4310280,6383525
Onyeka Okongwu,C,2,12/11/2000,21,6395160,8109063,10817490,0
Orlando Robinson,C,0,7/10/2000,22,386055,1761752,0,0
Oshae Brissett,SF,3,6/20/1998,24,1846738,0,0,0
Otto Porter Jr.,PF,9,6/3/1993,29,6000000,6300000,0,0
Ousmane Dieng,SF,0,5/21/2003,19,4569840,4798440,5027040,6670882
P.J. Tucker,PF,11,5/5/1985,37,10490000,11014500,11539000,0
P.J. Washington,C,3,8/23/1998,24,5808435,7992407,0,0
PJ Dozier,SG,5,10/25/1996,25,245204,0,0,0
Paolo Banchero,PF,0,11/12/2002,19,11055120,11608080,12160800,15334769
Pascal Siakam,PF,6,4/2/1994,28,35448672,37893408,0,0
Pat Connaughton,SF,7,1/6/1993,29,5728393,9423869,9423869,9423869
Patrick Baldwin Jr.,SF,0,11/18/2002,19,2226000,2337720,2448840,4420156
