Team,Possession,Points,Opp. Points,Assists,Opp. Assists,Rebounds,Opp. Rebounds,Blocks,Opp. Blocks,Steals,Opp. Steals,Turnovers,Opp. Turnovers,All FGM,All FGA,All FG%,Opp. All FGM,Opp. All FGA,Opp. All FG%,3FGM,3FGA,3FG%,Opp. 3FGM,Opp. 3FGA,Opp. 3FG%,Free Throws,Possession - Rank,Points - Rank,Opp. Points - Rank,Assists - Rank,Opp. Assists - Rank,Rebounds - Rank,Opp. Rebounds - Rank,Blocks - Rank,Opp. Blocks - Rank,Steals - Rank,Opp. Steals - Rank,Turnovers - Rank,Opp. Turnovers - Rank,All FGM - Rank,All FGA - Rank,All FG% - Rank,Opp. All FGM - Rank,Opp. All FGA - Rank,Opp. All FG% - Rank,3FGM - Rank,3FGA - Rank,3FG% - Rank,Opp. 3FGM - Rank,Opp. 3FGA - Rank,Opp. 3FG% - Rank,Free Throws - Rank
BKN,98.27,114.02,112.29,25.79,22.88,40.34,44.1,6.5,3.72,6.84,7.24,14.16,13.66,2455,4889,50.21,2337,5105,45.78,730,1862,39.21,694,1885,36.82,79.3,21,17,9,8,3,29,22,1,1,21,12,16,20,19,29,2,4,11,4,10,22,2,10,9,25,11
UTA,99.83,117.57,117.23,25.73,24.13,44.65,43.48,4.92,4.83,6.4,7.78,15.22,13.17,2540,5350,47.48,2604,5434,47.92,845,2332,36.23,702,1939,36.2,78.84,12,5,24,10,8,8,16,13,17,26,25,26,24,5,7,14,28,29,22,4,4,13,13,12,17,12
GSW,102.17,118.62,118.53,29.9,25.62,43.66,43.84,3.72,4.09,7.05,7.78,16.38,14.74,2501,5226,47.86,2480,5228,47.44,963,2495,38.6,745,2048,36.38,78.81,1,2,27,1,16,14,19,28,7,16,24,29,13,9,12,12,20,19,15,1,1,3,21,20,18,13
ORL,98.78,110.9,113.66,22.73,25.73,42.58,42.07,4.58,5.03,7.14,7.81,15.17,14.53,2367,5020,47.15,2439,5136,47.49,632,1806,34.99,759,2194,34.59,78.68,17,28,17,27,21,20,8,17,22,14,26,25,15,24,24,17,13,16,17,25,27,21,25,28,3,14
WAS,98.74,113.63,113.47,25.33,23.86,43.95,42.82,5.37,4.7,6.79,6.82,14.11,12.23,2392,4927,48.55,2386,5128,46.53,648,1808,35.84,673,1876,35.87,78.51,18,18,15,12,7,11,11,4,16,22,8,15,29,22,27,7,8,13,5,20,26,17,6,6,14,15
TOR,97.43,113.32,112.46,23.34,26.02,42.76,42.31,5.31,4.61,9.25,6.03,11.85,16.63,2447,5361,45.64,2395,4883,49.05,641,1903,33.68,734,1970,37.26,78.25,24,19,11,24,26,17,10,5,15,1,2,1,2,20,6,26,11,3,27,23,19,27,19,14,28,16
NOP,99.61,114.9,113.49,25.75,25.27,44.14,42.07,4.22,5.07,8.54,7.31,15.02,15.14,2494,5199,47.97,2446,5155,47.45,635,1784,35.59,722,2124,33.99,78,15,11,16,9,13,9,7,23,23,2,13,22,7,10,15,11,15,17,16,24,29,19,15,26,1,17
CLE,95.45,111.75,106.13,24.92,22.77,41.9,40.15,4.39,4.16,7,7.31,13.85,15.11,2514,5147,48.84,2371,5094,46.54,698,1919,36.37,688,1881,36.58,77.76,30,26,1,17,1,22,2,21,9,18,14,10,8,8,18,5,6,9,6,16,17,12,9,7,20,18
LAL,101.79,117.02,118.17,25.17,25.88,45.29,45.66,4.58,5.36,6.39,7.61,14.02,12.8,2550,5296,48.15,2618,5544,47.22,616,1828,33.7,745,2144,34.75,77.55,2,7,26,15,23,5,28,18,26,27,22,13,26,4,8,10,29,30,14,29,23,26,22,27,6,19
LAC,97.37,111.37,111.2,22.75,24.38,43.5,43.1,4.65,4.28,6.78,7.52,14.02,12.92,2416,5152,46.89,2456,5228,46.98,761,2008,37.9,734,2014,36.44,77.45,25,27,4,26,10,15,13,16,12,23,20,12,25,21,17,20,18,18,11,7,12,5,18,17,19,20
DET,99.75,112.27,119.86,22.81,25.64,42.2,44.95,3.73,5.49,7.24,7.32,14.93,13.98,2347,5160,45.48,2579,5232,49.29,693,1960,35.36,718,1989,36.1,77.31,13,25,29,25,18,21,25,27,28,13,15,20,18,27,16,28,26,20,28,18,14,20,14,16,16,21
MIN,101.25,115.87,115.8,25.53,25.57,41.17,44.35,5.3,4,8.13,8.08,15.68,15.9,2572,5212,49.35,2501,5313,47.07,719,2012,35.74,767,2085,36.79,77.12,4,10,19,11,15,27,24,6,5,6,28,28,4,3,13,4,23,24,12,14,11,18,26,22,24,22
NYK,96.68,114.57,112.33,22.35,24.65,46.98,43.45,4,4.57,6.08,5.92,12.73,12.58,2480,5379,46.11,2422,5321,45.52,727,2105,34.54,771,2222,34.7,77.08,27,14,10,29,11,3,14,24,14,30,1,3,28,12,4,24,12,26,3,12,7,23,27,29,5,23
HOU,99.47,109.76,118.16,22.4,25.72,46.55,41.66,4.97,5.98,7.1,9.09,17.03,13.31,2304,5114,45.05,2447,5134,47.66,629,1929,32.61,833,2261,36.84,75.47,16,29,25,28,20,4,4,10,30,15,30,30,23,30,20,30,16,14,18,26,15,29,30,30,26,24
DEN,98.68,117.08,112.73,29.12,25.69,42.73,40.02,4.46,4.47,7.56,7.71,14.93,13.81,2600,5081,51.17,2451,5111,47.96,712,1815,39.23,684,1959,34.92,75,19,6,13,2,19,18,1,20,13,11,23,21,19,2,22,1,17,12,23,15,25,1,8,13,8,25
DAL,95.75,113,112.52,22.35,24.28,38.68,43.73,3.73,3.98,6.5,6.27,12.4,13.48,2362,4998,47.26,2461,5082,48.43,886,2431,36.45,659,1876,35.13,74.9,29,21,12,30,9,30,18,26,4,25,3,2,21,26,25,16,19,8,26,3,3,10,2,5,9,26
SAS,101.17,112.44,122.61,26.95,26.53,43.03,44.17,3.9,4.95,7.02,8.34,15.59,14.02,2539,5419,46.85,2714,5334,50.88,622,1825,34.08,733,1859,39.43,74.72,6,24,30,4,29,16,23,25,20,17,29,27,17,6,3,21,30,27,30,28,24,25,17,3,30,27
CHA,101.16,112.5,118.92,25.25,26.63,44.88,46.67,5.08,5.85,8.07,6.62,13.75,15.02,2519,5533,45.53,2597,5409,48.01,648,1989,32.58,778,2116,36.77,74.46,7,23,28,14,30,7,30,8,29,7,5,8,9,7,1,27,27,28,24,21,13,30,29,24,23,28
MIL,100.11,114.88,111.81,24.74,22.89,49.16,43.93,4.96,4.16,6.61,7.19,15.12,12.14,2383,5140,46.36,2386,5254,45.41,816,2272,35.92,661,1908,34.64,73.74,11,12,7,18,4,1,20,11,8,24,11,23,30,23,19,23,9,21,2,6,6,16,3,10,4,29
MEM,101.56,116.12,112.21,25.3,26.51,47.74,44.05,6.05,5.3,8.4,7.19,14.28,15.39,2473,5259,47.02,2308,5135,44.95,644,1866,34.51,741,2075,35.71,71.76,3,9,8,13,28,2,21,2,25,4,10,18,6,13,11,19,2,15,1,22,21,24,20,21,12,30
